Nome da campanha,Dia,Status de veiculação,Nível de veiculação,Nome da conta,Identificação da conta,Valor gasto (BRL),Impressões,Alcance,Cliques no link,CPC (custo por clique no link),Tipo de resultado,Resultados,Custo por resultado,Início dos relatórios,Encerramento dos relatórios
[SET]_[N]_Card_Oferta - TM -BC | FLN,2026-09-01,active,campaign,SuperAuto GAC,952398236874786,101.85,5944,4339,107,0.95186916,Leads (formulário),16,6.365625,2026-09-01,2026-09-01
[AGO]_[N]_Vídeo_GAC [GS3/Form],2026-09-01,inactive,campaign,SuperAuto GAC,952398236874786,17.7,418,340,6,2.95,,,,2026-09-01,2026-09-01
[SET]_[N]_Vídeo [GS9/eufranamaral],2026-09-01,inactive,campaign,SuperAuto GAC,952398236874786,11.67,162,136,1,11.67,Conversas por mensagem iniciadas,3,3.89,2026-09-01,2026-09-01
[SET]_[N]_Vários formatos_Move Brasil,2026-09-01,inactive,campaign,SuperAuto GAC,952398236874786,18.11,521,444,11,1.64636364,Conversas por mensagem iniciadas,9,2.01222222,2026-09-01,2026-09-01
[SET]_[N]_Vídeo [GS9/eufranamaral],2026-09-02,inactive,campaign,SuperAuto GAC,952398236874786,12.73,128,118,6,2.12166667,Conversas por mensagem iniciadas,3,4.24333333,2026-09-02,2026-09-02
[AGO]_[N]_Vídeo_GAC [GS3/Form],2026-09-02,inactive,campaign,SuperAuto GAC,952398236874786,18.26,389,341,8,2.2825,,,,2026-09-02,2026-09-02
[AGO]_[PV]_Vídeo/Card_Condição - GAC FEST,2026-09-02,inactive,campaign,SuperAuto GAC,952398236874786,22.86,459,375,6,3.81,Conversas por mensagem iniciadas,3,7.62,2026-09-02,2026-09-02
[SET]_[N]_Card_Oferta - TM -BC | FLN,2026-09-02,active,campaign,SuperAuto GAC,952398236874786,91.45,5194,3947,106,0.86273585,Leads (formulário),14,6.53214286,2026-09-02,2026-09-02
[SET]_[N]_Vários formatos_Move Brasil,2026-09-02,inactive,campaign,SuperAuto GAC,952398236874786,20.02,859,709,15,1.33466667,Conversas por mensagem iniciadas,10,2.002,2026-09-02,2026-09-02
[SET]_[N]_Card_Oferta - TM -BC | FLN,2026-09-03,active,campaign,SuperAuto GAC,952398236874786,158.71,7271,5281,127,1.24968504,Leads (formulário),18,8.81722222,2026-09-03,2026-09-03
[SET]_[N]_Vários formatos_Move Brasil,2026-09-03,inactive,campaign,SuperAuto GAC,952398236874786,19.33,832,753,7,2.76142857,Conversas por mensagem iniciadas,4,4.8325,2026-09-03,2026-09-03
[SET]_[N]_Vídeo [GS9/eufranamaral],2026-09-03,inactive,campaign,SuperAuto GAC,952398236874786,7.09,124,111,1,7.09,,,,2026-09-03,2026-09-03
[AGO]_[PV]_Vídeo/Card_Condição - GAC FEST,2026-09-03,inactive,campaign,SuperAuto GAC,952398236874786,22.45,423,352,6,3.74166667,Conversas por mensagem iniciadas,1,22.45,2026-09-03,2026-09-03
[AGO]_[N]_Vídeo_GAC [GS3/Form],2026-09-03,inactive,campaign,SuperAuto GAC,952398236874786,19.51,315,262,8,2.43875,,,,2026-09-03,2026-09-03
[SET]_[PV]_Vídeo_Loja [FLN],2026-09-04,active,campaign,SuperAuto GAC,952398236874786,18.39,422,343,4,4.5975,Conversas por mensagem iniciadas,4,4.5975,2026-09-04,2026-09-04
[SET]_[N]_Vídeo [GS9/eufranamaral],2026-09-04,inactive,campaign,SuperAuto GAC,952398236874786,78.73,1093,814,13,6.05615385,Conversas por mensagem iniciadas,3,26.24333333,2026-09-04,2026-09-04
[SET]_[N]_Vídeo [GS's/Form],2026-09-04,active,campaign,SuperAuto GAC,952398236874786,130.61,2771,2316,79,1.65329114,Leads (formulário),10,13.061,2026-09-04,2026-09-04
[AGO]_[N]_Vídeo_GAC [GS3/Form],2026-09-04,inactive,campaign,SuperAuto GAC,952398236874786,2.48,45,44,3,0.82666667,,,,2026-09-04,2026-09-04
[AGO]_[PV]_Vídeo/Card_Condição - GAC FEST,2026-09-04,inactive,campaign,SuperAuto GAC,952398236874786,4.23,88,85,1,4.23,Conversas por mensagem iniciadas,2,2.115,2026-09-04,2026-09-04
[SET]_[N]_Card_Oferta - TM -BC | FLN,2026-09-04,active,campaign,SuperAuto GAC,952398236874786,448.45,18658,11239,298,1.50486577,Leads (formulário),26,17.24807692,2026-09-04,2026-09-04
[SET]_[N]_Vários formatos_Move Brasil,2026-09-04,inactive,campaign,SuperAuto GAC,952398236874786,36.32,1612,1335,16,2.27,Conversas por mensagem iniciadas,9,4.03555556,2026-09-04,2026-09-04
[SET]_[N]_Vídeo [GS's/Form],2026-09-05,active,campaign,SuperAuto GAC,952398236874786,137.5,3055,2508,114,1.20614035,Leads (formulário),12,11.45833333,2026-09-05,2026-09-05
[SET]_[N]_Card_Oferta - TM -BC | FLN,2026-09-05,active,campaign,SuperAuto GAC,952398236874786,480.29,20205,12821,328,1.46429878,Leads (formulário),27,17.78851852,2026-09-05,2026-09-05
[SET]_[PV]_Vídeo_Loja [FLN],2026-09-05,active,campaign,SuperAuto GAC,952398236874786,42.83,1088,692,11,3.89363636,Conversas por mensagem iniciadas,2,21.415,2026-09-05,2026-09-05
[SET]_[N]_Vídeo [GS9/eufranamaral],2026-09-05,inactive,campaign,SuperAuto GAC,952398236874786,80.03,922,589,18,4.44611111,Conversas por mensagem iniciadas,6,13.33833333,2026-09-05,2026-09-05
[SET]_[PV]_Vídeo_Loja [FLN],2026-09-06,active,campaign,SuperAuto GAC,952398236874786,49.06,1116,753,10,4.906,Conversas por mensagem iniciadas,3,16.35333333,2026-09-06,2026-09-06
[SET]_[N]_Vídeo [GS9/eufranamaral],2026-09-06,inactive,campaign,SuperAuto GAC,952398236874786,110.89,1354,921,15,7.39266667,Conversas por mensagem iniciadas,5,22.178,2026-09-06,2026-09-06
[SET]_[N]_Card_Oferta - TM -BC | FLN,2026-09-06,active,campaign,SuperAuto GAC,952398236874786,633.25,27700,16682,459,1.37962963,Leads (formulário),34,18.625,2026-09-06,2026-09-06
[SET]_[N]_Vídeo [GS's/Form],2026-09-06,active,campaign,SuperAuto GAC,952398236874786,89.76,2291,1985,77,1.16571429,Leads (formulário),8,11.22,2026-09-06,2026-09-06
[SET]_[PV]_Vídeo_Loja [FLN],2026-09-07,active,campaign,SuperAuto GAC,952398236874786,55.24,1684,1260,12,4.60333333,Conversas por mensagem iniciadas,7,7.89142857,2026-09-07,2026-09-07
[SET]_[N]_Vídeo [GS9/eufranamaral],2026-09-07,inactive,campaign,SuperAuto GAC,952398236874786,102.05,1542,1093,23,4.43695652,Conversas por mensagem iniciadas,3,34.01666667,2026-09-07,2026-09-07
[SET]_[N]_Vídeo [GS's/Form],2026-09-07,active,campaign,SuperAuto GAC,952398236874786,97.21,2870,2482,88,1.10465909,Leads (formulário),13,7.47769231,2026-09-07,2026-09-07
[SET]_[N]_Card_Oferta - TM -BC | FLN,2026-09-07,active,campaign,SuperAuto GAC,952398236874786,593.05,28884,18631,436,1.36020642,Leads (formulário),22,26.95681818,2026-09-07,2026-09-07
[SET]_[N]_Vídeo [GS's/Form],2026-09-08,active,campaign,SuperAuto GAC,952398236874786,104.12,3280,2925,103,1.01087379,Leads (formulário),13,8.00923077,2026-09-08,2026-09-08
[SET]_[N]_Card_Oferta - TM -BC | FLN,2026-09-08,active,campaign,SuperAuto GAC,952398236874786,480.4,22831,14986,353,1.36090652,Leads (formulário),14,34.31428571,2026-09-08,2026-09-08
[SET]_[PV]_Vídeo_Loja [FLN],2026-09-08,active,campaign,SuperAuto GAC,952398236874786,50.48,1218,900,6,8.41333333,Conversas por mensagem iniciadas,1,50.48,2026-09-08,2026-09-08
[SET]_[N]_Vídeo [GS9/eufranamaral],2026-09-08,inactive,campaign,SuperAuto GAC,952398236874786,109.64,1340,939,24,4.56833333,Conversas por mensagem iniciadas,5,21.928,2026-09-08,2026-09-08
[SET]_[PV]_Vídeo_Loja [FLN],2026-09-09,active,campaign,SuperAuto GAC,952398236874786,63.55,1531,1108,6,10.59166667,Conversas por mensagem iniciadas,2,31.775,2026-09-09,2026-09-09
[SET]_[N]_Vídeo [GS9/eufranamaral],2026-09-09,inactive,campaign,SuperAuto GAC,952398236874786,125.66,1693,1240,14,8.97571429,Conversas por mensagem iniciadas,5,25.132,2026-09-09,2026-09-09
[SET]_[N]_Vídeo [GS's/Form],2026-09-09,active,campaign,SuperAuto GAC,952398236874786,121.8,3109,2563,103,1.18252427,Leads (formulário),5,24.36,2026-09-09,2026-09-09
[SET]_[N]_Card_Oferta - TM -BC | FLN,2026-09-09,active,campaign,SuperAuto GAC,952398236874786,637.56,26425,18226,469,1.35940299,Leads (formulário),27,23.61333333,2026-09-09,2026-09-09
[SET]_[PV]_Vídeo_Loja [FLN],2026-09-10,active,campaign,SuperAuto GAC,952398236874786,47.56,1213,915,7,6.79428571,Conversas por mensagem iniciadas,6,7.92666667,2026-09-10,2026-09-10
[SET]_[N]_Vídeo [GS9/eufranamaral],2026-09-10,inactive,campaign,SuperAuto GAC,952398236874786,95.97,1311,1011,17,5.64529412,Conversas por mensagem iniciadas,4,23.9925,2026-09-10,2026-09-10
[SET]_[N]_Vídeo [GS's/Form],2026-09-10,active,campaign,SuperAuto GAC,952398236874786,114.53,2682,2429,112,1.02258929,Leads (formulário),12,9.54416667,2026-09-10,2026-09-10
[SET]_[N]_Card_Oferta - TM -BC | FLN,2026-09-10,active,campaign,SuperAuto GAC,952398236874786,619.01,25878,17281,413,1.49881356,Leads (formulário),23,26.91347826,2026-09-10,2026-09-10
[SET]_[PV]_Vídeo_Loja [FLN],2026-09-11,active,campaign,SuperAuto GAC,952398236874786,47.07,1072,747,13,3.62076923,Conversas por mensagem iniciadas,2,23.535,2026-09-11,2026-09-11
[SET]_[N]_Vídeo [GS9/eufranamaral],2026-09-11,inactive,campaign,SuperAuto GAC,952398236874786,85.5,1179,855,8,10.6875,Conversas por mensagem iniciadas,1,85.5,2026-09-11,2026-09-11
[SET]_[N]_Vídeo [GS's/Form],2026-09-11,active,campaign,SuperAuto GAC,952398236874786,113.53,2832,2431,91,1.24758242,Leads (formulário),10,11.353,2026-09-11,2026-09-11
[SET]_[N]_Card_Oferta - TM -BC | FLN,2026-09-11,active,campaign,SuperAuto GAC,952398236874786,580.77,26535,18013,414,1.40282609,Leads (formulário),25,23.2308,2026-09-11,2026-09-11
[SET]_[N]_Card_Oferta - TM -BC | FLN,2026-09-12,active,campaign,SuperAuto GAC,952398236874786,515.79,25865,18535,442,1.1669457,Leads (formulário),27,19.10333333,2026-09-12,2026-09-12
[SET]_[PV]_Vídeo_Loja [FLN],2026-09-12,active,campaign,SuperAuto GAC,952398236874786,35.4,788,572,3,11.8,Conversas por mensagem iniciadas,2,17.7,2026-09-12,2026-09-12
[SET]_[N]_Vídeo [GS9/eufranamaral],2026-09-12,inactive,campaign,SuperAuto GAC,952398236874786,68.15,907,636,11,6.19545455,Conversas por mensagem iniciadas,3,22.71666667,2026-09-12,2026-09-12
[SET]_[N]_Vídeo [GS's/Form],2026-09-12,active,campaign,SuperAuto GAC,952398236874786,98.6,2471,2191,81,1.21728395,Leads (formulário),10,9.86,2026-09-12,2026-09-12
[SET]_[PV]_Vídeo_Loja [FLN],2026-09-13,active,campaign,SuperAuto GAC,952398236874786,50.88,892,672,6,8.48,Conversas por mensagem iniciadas,3,16.96,2026-09-13,2026-09-13
[SET]_[N]_Vídeo [GS9/eufranamaral],2026-09-13,inactive,campaign,SuperAuto GAC,952398236874786,117.19,1136,675,11,10.65363636,Conversas por mensagem iniciadas,6,19.53166667,2026-09-13,2026-09-13
[SET]_[N]_Vídeo [GS's/Form],2026-09-13,active,campaign,SuperAuto GAC,952398236874786,140.5,3944,3428,96,1.46354167,Leads (formulário),8,17.5625,2026-09-13,2026-09-13
[SET]_[N]_Card_Oferta - TM -BC | FLN,2026-09-13,active,campaign,SuperAuto GAC,952398236874786,668.14,37189,26709,559,1.1952415,Leads (formulário),23,29.04956522,2026-09-13,2026-09-13
[SET]_[PV]_Vídeo_Loja [FLN],2026-09-14,active,campaign,SuperAuto GAC,952398236874786,81.51,1447,1085,9,9.05666667,Conversas por mensagem iniciadas,2,40.755,2026-09-14,2026-09-14
[SET]_[N]_Vídeo [GS9/eufranamaral],2026-09-14,inactive,campaign,SuperAuto GAC,952398236874786,119.31,1475,925,14,8.52214286,Conversas por mensagem iniciadas,6,19.885,2026-09-14,2026-09-14
[SET]_[N]_Vídeo [GS's/Form],2026-09-14,active,campaign,SuperAuto GAC,952398236874786,111.6,2932,2602,91,1.22637363,Leads (formulário),9,12.4,2026-09-14,2026-09-14
[SET]_[N]_Card_Oferta - TM -BC | FLN,2026-09-14,active,campaign,SuperAuto GAC,952398236874786,543.25,30318,21660,461,1.17841649,Leads (formulário),21,25.86904762,2026-09-14,2026-09-14
[SET]_[N]_Card_Oferta - TM -BC | FLN,2026-09-15,active,campaign,SuperAuto GAC,952398236874786,581.69,29349,21587,438,1.32805936,Leads (formulário),23,25.29086957,2026-09-15,2026-09-15
[SET]_[N]_Vídeo [GS's/Form],2026-09-15,active,campaign,SuperAuto GAC,952398236874786,117.32,2804,2452,83,1.41349398,Leads (formulário),7,16.76,2026-09-15,2026-09-15
[SET]_[N]_Vídeo [GS9/eufranamaral],2026-09-15,inactive,campaign,SuperAuto GAC,952398236874786,63.25,638,357,6,10.54166667,Conversas por mensagem iniciadas,5,12.65,2026-09-15,2026-09-15
[SET]_[PV]_Vídeo_Loja [FLN],2026-09-15,active,campaign,SuperAuto GAC,952398236874786,93.46,2280,1666,16,5.84125,Conversas por mensagem iniciadas,5,18.692,2026-09-15,2026-09-15
[SET]_[N]_Carrossel [GS3-4/Wts],2026-09-15,active,campaign,SuperAuto GAC,952398236874786,50.8,1404,1003,12,4.23333333,Conversas por mensagem iniciadas,1,50.8,2026-09-15,2026-09-15
[AGO]_[N]_Vídeo [Semana GS],2026-09-15,recently_completed,campaign,SuperAuto GAC,952398236874786,62.15,34498,34498,23,2.70217391,Alcance,34498,1.80155371,2026-09-15,2026-09-15
[AGO]_[N]_Vídeo [Semana GS],2026-09-16,recently_completed,campaign,SuperAuto GAC,952398236874786,207.28,112381,108009,79,2.62379747,Alcance,108009,1.91909933,2026-09-16,2026-09-16
[SET]_[N]_Carrossel [GS3-4/Wts],2026-09-16,active,campaign,SuperAuto GAC,952398236874786,42.59,911,646,10,4.259,Conversas por mensagem iniciadas,1,42.59,2026-09-16,2026-09-16
[SET]_[PV]_Vídeo_Loja [FLN],2026-09-16,active,campaign,SuperAuto GAC,952398236874786,82.64,1902,1299,11,7.51272727,Conversas por mensagem iniciadas,5,16.528,2026-09-16,2026-09-16
[SET]_[N]_Vídeo [GS9/eufranamaral],2026-09-16,inactive,campaign,SuperAuto GAC,952398236874786,48.17,483,309,5,9.634,Conversas por mensagem iniciadas,2,24.085,2026-09-16,2026-09-16
[SET]_[N]_Vídeo [GS's/Form],2026-09-16,active,campaign,SuperAuto GAC,952398236874786,161.98,3889,2834,94,1.72319149,Leads (formulário),6,26.99666667,2026-09-16,2026-09-16
[SET]_[N]_Card_Oferta - TM -BC | FLN,2026-09-16,active,campaign,SuperAuto GAC,952398236874786,554.31,25615,19044,392,1.41405612,Leads (formulário),29,19.11413793,2026-09-16,2026-09-16
[SET]_[N]_Vídeo [GS9/eufranamaral],2026-09-17,inactive,campaign,SuperAuto GAC,952398236874786,19.79,189,119,4,4.9475,Conversas por mensagem iniciadas,1,19.79,2026-09-17,2026-09-17
[SET]_[N]_Vídeo [GS's/Form],2026-09-17,active,campaign,SuperAuto GAC,952398236874786,221.32,4985,4052,111,1.99387387,Leads (formulário),12,18.44333333,2026-09-17,2026-09-17
[SET]_[N]_Card_Oferta - TM -BC | FLN,2026-09-17,active,campaign,SuperAuto GAC,952398236874786,561.53,25314,19085,360,1.55980556,Leads (formulário),18,31.19611111,2026-09-17,2026-09-17
[SET]_[PV]_Vídeo_Loja [FLN],2026-09-17,active,campaign,SuperAuto GAC,952398236874786,70.62,1705,1207,13,5.43230769,Conversas por mensagem iniciadas,4,17.655,2026-09-17,2026-09-17
[SET]_[N]_Carrossel [GS3-4/Wts],2026-09-17,active,campaign,SuperAuto GAC,952398236874786,29.45,582,412,13,2.26538462,,,,2026-09-17,2026-09-17
[AGO]_[N]_Vídeo [Semana GS],2026-09-17,recently_completed,campaign,SuperAuto GAC,952398236874786,206.72,107563,100714,94,2.19914894,Alcance,100714,2.05254483,2026-09-17,2026-09-17
[AGO]_[N]_Vídeo [Semana GS],2026-09-18,recently_completed,campaign,SuperAuto GAC,952398236874786,269.37,136172,118443,55,4.89763636,Alcance,118443,2.2742585,2026-09-18,2026-09-18
[SET]_[N]_Carrossel [GS3-4/Wts],2026-09-18,active,campaign,SuperAuto GAC,952398236874786,28.8,731,518,9,3.2,Conversas por mensagem iniciadas,2,14.4,2026-09-18,2026-09-18
[SET]_[PV]_Vídeo_Loja [FLN],2026-09-18,active,campaign,SuperAuto GAC,952398236874786,74.1,1805,1262,17,4.35882353,Conversas por mensagem iniciadas,8,9.2625,2026-09-18,2026-09-18
[SET]_[N]_Vídeo [GS's/Form],2026-09-18,active,campaign,SuperAuto GAC,952398236874786,168.83,4002,3333,93,1.81537634,Leads (formulário),12,14.06916667,2026-09-18,2026-09-18
[SET]_[N]_Card_Oferta - TM -BC | FLN,2026-09-18,active,campaign,SuperAuto GAC,952398236874786,596.47,26877,19833,461,1.29386117,Leads (formulário),29,20.56793103,2026-09-18,2026-09-18
[SET]_[N]_Vídeo [GS's/Form],2026-09-19,active,campaign,SuperAuto GAC,952398236874786,194.2,4900,3987,85,2.28470588,Leads (formulário),12,16.18333333,2026-09-19,2026-09-19
[SET]_[N]_Card_Oferta - TM -BC | FLN,2026-09-19,active,campaign,SuperAuto GAC,952398236874786,554.36,26778,19593,429,1.29221445,Leads (formulário),27,20.53185185,2026-09-19,2026-09-19
[SET]_[N]_Carrossel [GS3-4/Wts],2026-09-19,active,campaign,SuperAuto GAC,952398236874786,22.65,516,374,3,7.55,,,,2026-09-19,2026-09-19
[SET]_[PV]_Vídeo_Loja [FLN],2026-09-19,active,campaign,SuperAuto GAC,952398236874786,60.35,1478,1073,21,2.87380952,Conversas por mensagem iniciadas,7,8.62142857,2026-09-19,2026-09-19
[AGO]_[N]_Vídeo [Semana GS],2026-09-19,recently_completed,campaign,SuperAuto GAC,952398236874786,159.35,81527,77968,41,3.88658537,Alcance,77968,2.04378719,2026-09-19,2026-09-19
[SET]_[N]_Carrossel [GS3-4/Wts],2026-09-20,active,campaign,SuperAuto GAC,952398236874786,39.62,856,638,20,1.981,Conversas por mensagem iniciadas,3,13.20666667,2026-09-20,2026-09-20
[SET]_[PV]_Vídeo_Loja [FLN],2026-09-20,active,campaign,SuperAuto GAC,952398236874786,75.95,1473,1091,11,6.90454545,Conversas por mensagem iniciadas,4,18.9875,2026-09-20,2026-09-20
[SET]_[N]_Vídeo [GS's/Form],2026-09-20,active,campaign,SuperAuto GAC,952398236874786,306.74,7714,6510,185,1.65805405,Leads (formulário),11,27.88545455,2026-09-20,2026-09-20
[SET]_[N]_Card_Oferta - TM -BC | FLN,2026-09-20,active,campaign,SuperAuto GAC,952398236874786,634.81,34499,24503,518,1.22550193,Leads (formulário),29,21.89,2026-09-20,2026-09-20
[SET]_[N]_Carrossel [GS3-4/Wts],2026-09-21,active,campaign,SuperAuto GAC,952398236874786,12.1,331,263,4,3.025,Conversas por mensagem iniciadas,3,4.03333333,2026-09-21,2026-09-21
[SET]_[PV]_Vídeo_Loja [FLN],2026-09-21,active,campaign,SuperAuto GAC,952398236874786,29.22,456,365,6,4.87,Conversas por mensagem iniciadas,2,14.61,2026-09-21,2026-09-21
[SET]_[N]_Vídeo [GS's/Form],2026-09-21,active,campaign,SuperAuto GAC,952398236874786,46.9,1210,1107,23,2.03913043,Leads (formulário),4,11.725,2026-09-21,2026-09-21
[SET]_[N]_Card_Oferta - TM -BC | FLN,2026-09-21,active,campaign,SuperAuto GAC,952398236874786,146.64,8226,6951,119,1.23226891,Leads (formulário),7,20.94857143,2026-09-21,2026-09-21
[AGO]_[SN]_Carrossel_Teste AB,2026-09-01,inactive,campaign,SuperAuto [Mitsubishi],1876369346602489,81.13,4074,3018,88,0.92193182,Conversas por mensagem iniciadas,1,81.13,2026-09-01,2026-09-01
[AGO]_[N]_Card_Condição - Pré-Expointer [3],2026-09-01,completed,campaign,SuperAuto [Mitsubishi],1876369346602489,104.21,75392,74326,86,1.21174419,Alcance,74326,1.40206657,2026-09-01,2026-09-01
[AGO]_[N]_Card_Oferta,2026-09-01,completed,campaign,SuperAuto [Mitsubishi],1876369346602489,390.01,15314,11749,191,2.04193717,Leads (formulário),11,35.45545455,2026-09-01,2026-09-01
[AGO]_[N]_Card_Oferta,2026-09-02,completed,campaign,SuperAuto [Mitsubishi],1876369346602489,319.84,11290,8547,139,2.30100719,Leads (formulário),7,45.69142857,2026-09-02,2026-09-02
[AGO]_[N]_Card_Condição - Pré-Expointer [3],2026-09-02,completed,campaign,SuperAuto [Mitsubishi],1876369346602489,98.92,68435,66513,74,1.33675676,Alcance,66513,1.48722806,2026-09-02,2026-09-02
[AGO]_[SN]_Carrossel_Teste AB,2026-09-02,inactive,campaign,SuperAuto [Mitsubishi],1876369346602489,64.56,4294,3300,63,1.0247619,Conversas por mensagem iniciadas,3,21.52,2026-09-02,2026-09-02
[AGO]_[N]_Card_Condição - Pré-Expointer [3],2026-09-03,completed,campaign,SuperAuto [Mitsubishi],1876369346602489,49.47,32868,31523,45,1.09933333,Alcance,31523,1.56933033,2026-09-03,2026-09-03
[AGO]_[SN]_Carrossel_Teste AB,2026-09-03,inactive,campaign,SuperAuto [Mitsubishi],1876369346602489,44.36,3550,2915,39,1.1374359,,,,2026-09-03,2026-09-03
[AGO]_[N]_Card_Oferta,2026-09-03,completed,campaign,SuperAuto [Mitsubishi],1876369346602489,342.28,11656,8446,101,3.38891089,Leads (formulário),6,57.04666667,2026-09-03,2026-09-03
[SET]_[SN]_Feed_Oferta,2026-09-04,active,campaign,SuperAuto [Mitsubishi],1876369346602489,43.64,2429,1870,46,0.94869565,Conversas por mensagem iniciadas,5,8.728,2026-09-04,2026-09-04
[AGO]_[N]_Card_Condição - Pré-Expointer [3],2026-09-04,completed,campaign,SuperAuto [Mitsubishi],1876369346602489,95.47,59066,55741,82,1.16426829,Alcance,55741,1.71274286,2026-09-04,2026-09-04
[AGO]_[SN]_Carrossel_Teste AB,2026-09-04,inactive,campaign,SuperAuto [Mitsubishi],1876369346602489,10.53,1551,1448,15,0.702,Conversas por mensagem iniciadas,1,10.53,2026-09-04,2026-09-04
[AGO]_[N]_Card_Oferta,2026-09-04,completed,campaign,SuperAuto [Mitsubishi],1876369346602489,346.37,12901,9034,137,2.52824818,Leads (formulário),9,38.48555556,2026-09-04,2026-09-04
[SET]_[SN]_Feed_Oferta,2026-09-05,active,campaign,SuperAuto [Mitsubishi],1876369346602489,46.67,2975,2291,53,0.88056604,Conversas por mensagem iniciadas,7,6.66714286,2026-09-05,2026-09-05
[AGO]_[N]_Card_Condição - Pré-Expointer [3],2026-09-05,completed,campaign,SuperAuto [Mitsubishi],1876369346602489,136.27,81947,79538,111,1.22765766,Alcance,79538,1.71326913,2026-09-05,2026-09-05
