Nome da campanha,Dia,Status de veiculação,Nível de veiculação,Nome da conta,Identificação da conta,Valor usado (BRL),Impressões,Alcance,Cliques no link,CPC (custo por clique no link),Tipo de resultado,Resultados,Custo por resultado,Início dos relatórios,Encerramento dos relatórios
[JUL]_[N]_Card_Modelos,2026-07-13,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,113.72,7062,4382,75,151.626.667,Conversas por mensagem iniciadas,5,22.744,2026-07-13,2026-07-13
[JUL]_[SN]_Carrossel_Oferta,2026-07-13,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,68.37,4472,3112,102,67.029.412,Conversas por mensagem iniciadas,9,759.666.667,2026-07-13,2026-07-13
[JUL]_[SN]_Card_Condição,2026-07-12,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,37.62,1656,1353,16,235.125,Conversas por mensagem iniciadas,3,12.54,2026-07-12,2026-07-12
[JUL]_[N]_Card_Modelos,2026-07-12,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,115.36,8418,5464,92,125.391.304,Conversas por mensagem iniciadas,8,14.42,2026-07-12,2026-07-12
[JUL]_[SN]_Carrossel_Oferta,2026-07-12,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,70.59,5400,3504,81,87.148.148,Conversas por mensagem iniciadas,10,7.059,2026-07-12,2026-07-12
[JUL]_[SN]_Card_Condição,2026-07-11,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,15.68,723,599,14,1.12,,,,2026-07-11,2026-07-11
[JUL]_[N]_Card_Modelos,2026-07-11,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,83.29,5954,4101,57,146.122.807,Conversas por mensagem iniciadas,4,208.225,2026-07-11,2026-07-11
[JUL]_[SN]_Carrossel_Oferta,2026-07-11,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,42.1,3221,2332,51,8.254.902,Conversas por mensagem iniciadas,8,5.2625,2026-07-11,2026-07-11
[JUL]_[SN]_Card_Condição,2026-07-10,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,22.34,960,792,11,203.090.909,Conversas por mensagem iniciadas,1,22.34,2026-07-10,2026-07-10
[JUL]_[N]_Card_Modelos,2026-07-10,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,77.38,4955,3313,59,131.152.542,Conversas por mensagem iniciadas,8,9.6725,2026-07-10,2026-07-10
[JUL]_[SN]_Carrossel_Oferta,2026-07-10,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,57.18,4241,2900,95,60.189.474,Conversas por mensagem iniciadas,7,816.857.143,2026-07-10,2026-07-10
[JUL]_[SN]_Card_Condição,2026-07-09,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,27.06,1106,843,7,386.571.429,Conversas por mensagem iniciadas,1,27.06,2026-07-09,2026-07-09
[JUL]_[N]_Card_Modelos,2026-07-09,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,26.65,1670,1216,12,222.083.333,Conversas por mensagem iniciadas,2,13.325,2026-07-09,2026-07-09
[JUL]_[SN]_Carrossel_Oferta,2026-07-09,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,62.22,4251,2815,83,74.963.855,Conversas por mensagem iniciadas,12,5.185,2026-07-09,2026-07-09
[JUL]_[SN]_Card_Condição,2026-07-08,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,32.21,1603,1191,36,89.472.222,Conversas por mensagem iniciadas,6,536.833.333,2026-07-08,2026-07-08
[JUL]_[N]_Card_Modelos,2026-07-08,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,32.41,1960,1382,21,154.333.333,Conversas por mensagem iniciadas,3,1.080.333.333,2026-07-08,2026-07-08
[JUL]_[SN]_Carrossel_Oferta,2026-07-08,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,73.57,4843,3162,98,75.071.429,Conversas por mensagem iniciadas,11,668.818.182,2026-07-08,2026-07-08
[JUL]_[SN]_Card_Condição,2026-07-07,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,37.93,1557,1169,15,252.866.667,Conversas por mensagem iniciadas,3,1.264.333.333,2026-07-07,2026-07-07
[JUL]_[N]_Card_Modelos,2026-07-07,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,30.77,2157,1666,24,128.208.333,Conversas por mensagem iniciadas,1,30.77,2026-07-07,2026-07-07
[JUL]_[SN]_Carrossel_Oferta,2026-07-07,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,67.54,4108,2719,92,73.413.043,Conversas por mensagem iniciadas,11,6.14,2026-07-07,2026-07-07
[JUL]_[SN]_Card_Condição,2026-07-06,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,37.73,1811,1343,29,130.103.448,Conversas por mensagem iniciadas,4,9.4325,2026-07-06,2026-07-06
[JUL]_[N]_Card_Modelos,2026-07-06,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,41.73,4276,3127,21,198.714.286,Conversas por mensagem iniciadas,1,41.73,2026-07-06,2026-07-06
[JUN]_[N]_Vídeo_Modelo,2026-07-06,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,12.1,138,110,1,12.1,Conversas por mensagem iniciadas,1,12.1,2026-07-06,2026-07-06
[JUL]_[SN]_Carrossel_Oferta,2026-07-06,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,28.6,1714,1202,46,62.173.913,Conversas por mensagem iniciadas,4,7.15,2026-07-06,2026-07-06
[JUL]_[SN]_Carrossel_Oferta,2026-07-05,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,37.02,2261,1608,42,88.142.857,Conversas por mensagem iniciadas,7,528.857.143,2026-07-05,2026-07-05
[JUN]_[N]_Vídeo_Modelo,2026-07-05,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,42.81,843,579,23,186.130.435,Conversas por mensagem iniciadas,1,42.81,2026-07-05,2026-07-05
[JUL]_[N]_Card_Modelos,2026-07-05,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,39.64,3944,3008,31,127.870.968,Conversas por mensagem iniciadas,4,9.91,2026-07-05,2026-07-05
[JUL]_[SN]_Card_Condição,2026-07-05,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,37.04,1860,1454,11,336.727.273,Conversas por mensagem iniciadas,3,1.234.666.667,2026-07-05,2026-07-05
[JUL]_[SN]_Card_Condição,2026-07-04,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,28.54,1343,1058,9,317.111.111,Conversas por mensagem iniciadas,4,7.135,2026-07-04,2026-07-04
[JUL]_[N]_Card_Modelos,2026-07-04,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,29.09,3058,2397,23,126.478.261,,,,2026-07-04,2026-07-04
[JUN]_[N]_Vídeo_Modelo,2026-07-04,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,11.35,362,275,5,2.27,,,,2026-07-04,2026-07-04
[JUL]_[SN]_Carrossel_Oferta,2026-07-04,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,16.47,1123,870,21,78.428.571,Conversas por mensagem iniciadas,6,2.745,2026-07-04,2026-07-04
[JUL]_[SN]_Card_Condição,2026-07-03,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,9.13,512,454,4,2.2825,Conversas por mensagem iniciadas,2,4.565,2026-07-03,2026-07-03
[JUL]_[N]_Card_Modelos,2026-07-03,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,8.58,896,764,4,2.145,,,,2026-07-03,2026-07-03
[JUN]_[N]_Vídeo_Festival-Prorrogado,2026-07-03,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,0,0,0,,,Conversas por mensagem iniciadas,1,0,2026-07-03,2026-07-03
[JUN]_[N]_Vídeo_Modelo,2026-07-03,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,20.57,435,322,12,171.416.667,Conversas por mensagem iniciadas,1,20.57,2026-07-03,2026-07-03
[JUL]_[SN]_Carrossel_Oferta,2026-07-03,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,23.52,1631,1136,45,52.266.667,Conversas por mensagem iniciadas,9,261.333.333,2026-07-03,2026-07-03
[JUL]_[SN]_Carrossel_Oferta,2026-07-02,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,28.91,1998,1326,58,49.844.828,Conversas por mensagem iniciadas,6,481.833.333,2026-07-02,2026-07-02
[JUN]_[N]_Vídeo_Festival-Prorrogado,2026-07-02,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,5.78,337,292,1,5.78,Conversas por mensagem iniciadas,1,5.78,2026-07-02,2026-07-02
[JUN]_[N]_Vídeo_Modelo,2026-07-02,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,27.67,524,385,7,395.285.714,Conversas por mensagem iniciadas,3,922.333.333,2026-07-02,2026-07-02
[JUN]_[N]_Vídeo_Modelo,2026-07-01,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,37.91,676,466,14,270.785.714,Conversas por mensagem iniciadas,3,1.263.666.667,2026-07-01,2026-07-01
[JUN]_[N]_Vídeo_Festival-Prorrogado,2026-07-01,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,34.39,1791,1396,14,245.642.857,Conversas por mensagem iniciadas,10,3.439,2026-07-01,2026-07-01
[JUL]_[SN]_Carrossel_Oferta,2026-07-01,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,35.41,2338,1599,40,88.525,Conversas por mensagem iniciadas,7,505.857.143,2026-07-01,2026-07-01
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-16,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,6.43,513,466,,,,,,2026-07-16,2026-07-16
[JUL]_[N]_Vt_Condição,2026-07-16,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,22.04,613,537,23,95.826.087,Conversas por mensagem iniciadas,4,5.51,2026-07-16,2026-07-16
[JUL]_[N]_Card_Oferta,2026-07-16,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,56.95,8066,5629,53,10.745.283,Conversas por mensagem iniciadas,5,11.39,2026-07-16,2026-07-16
[JUL]_[SN]_Card_Condição,2026-07-16,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,22.03,1019,849,5,4.406,Conversas por mensagem iniciadas,3,734.333.333,2026-07-16,2026-07-16
[JUL]_[SN]_Carrossel_Oferta,2026-07-16,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,20.66,1848,1275,23,89.826.087,Conversas por mensagem iniciadas,1,20.66,2026-07-16,2026-07-16
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-15,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,14.04,1404,1145,5,2.808,Conversas por mensagem iniciadas,1,14.04,2026-07-15,2026-07-15
[JUL]_[N]_Vt_Condição,2026-07-15,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,34.99,1083,841,19,184.157.895,Conversas por mensagem iniciadas,1,34.99,2026-07-15,2026-07-15
[JUL]_[N]_Card_Oferta,2026-07-15,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,103.71,11708,7414,81,128.037.037,Conversas por mensagem iniciadas,6,17.285,2026-07-15,2026-07-15
[JUL]_[SN]_Card_Condição,2026-07-15,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,34.54,1636,1247,9,383.777.778,,,,2026-07-15,2026-07-15
[JUL]_[SN]_Carrossel_Oferta,2026-07-15,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,45.02,4059,2800,48,93.791.667,Conversas por mensagem iniciadas,5,9.004,2026-07-15,2026-07-15
[JUL]_[SN]_Card_Condição,2026-07-14,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,32.11,1524,1236,11,291.909.091,Conversas por mensagem iniciadas,3,1.070.333.333,2026-07-14,2026-07-14
[JUL]_[SN]_Carrossel_Oferta,2026-07-14,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,48.4,4022,2457,61,79.344.262,Conversas por mensagem iniciadas,7,691.428.571,2026-07-14,2026-07-14
[JUL]_[N]_Card_Oferta,2026-07-14,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,109.34,9879,6282,75,145.786.667,Conversas por mensagem iniciadas,7,15.62,2026-07-14,2026-07-14
[JUL]_[N]_Vt_Condição,2026-07-14,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,46.59,1383,1127,31,150.290.323,Conversas por mensagem iniciadas,4,11.6475,2026-07-14,2026-07-14
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-14,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,7.16,535,485,2,3.58,Conversas por mensagem iniciadas,1,7.16,2026-07-14,2026-07-14
[JUL]_[N]_Card_Oferta,2026-07-13,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,118.8,11099,6544,109,108.990.826,Conversas por mensagem iniciadas,16,7.425,2026-07-13,2026-07-13
[JUL]_[SN]_Card_Condição,2026-07-13,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,38.08,1654,1312,5,7.616,,,,2026-07-13,2026-07-13
[JUL]_[SN]_Carrossel_Oferta,2026-07-13,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,47.99,5009,3060,103,46.592.233,Conversas por mensagem iniciadas,8,599.875,2026-07-13,2026-07-13
[JUL]_[N]_Card_Oferta,2026-07-12,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,117.88,11454,6444,87,135.494.253,Conversas por mensagem iniciadas,6,1.964.666.667,2026-07-12,2026-07-12
[JUL]_[SN]_Card_Condição,2026-07-12,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,38.88,2376,1891,13,299.076.923,Conversas por mensagem iniciadas,3,12.96,2026-07-12,2026-07-12
[JUL]_[SN]_Carrossel_Oferta,2026-07-12,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,44.7,5645,3573,85,52.588.235,Conversas por mensagem iniciadas,2,22.35,2026-07-12,2026-07-12
[JUL]_[N]_Card_Oferta,2026-07-11,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,80.25,8773,5362,73,109.931.507,Conversas por mensagem iniciadas,14,573.214.286,2026-07-11,2026-07-11
[JUL]_[SN]_Card_Condição,2026-07-11,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,14.6,889,689,8,1.825,Conversas por mensagem iniciadas,2,7.3,2026-07-11,2026-07-11
[JUL]_[SN]_Carrossel_Oferta,2026-07-11,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,30.23,3469,2247,65,46.507.692,Conversas por mensagem iniciadas,4,7.5575,2026-07-11,2026-07-11
[JUL]_[SN]_Carrossel_Oferta,2026-07-10,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,38.19,3944,2516,72,53.041.667,Conversas por mensagem iniciadas,3,12.73,2026-07-10,2026-07-10
[JUL]_[N]_Card_Oferta,2026-07-10,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,81.83,5887,3578,55,148.781.818,Conversas por mensagem iniciadas,5,16.366,2026-07-10,2026-07-10
[JUL]_[SN]_Card_Condição,2026-07-10,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,23.22,1220,928,12,1.935,,,,2026-07-10,2026-07-10
[JUL]_[N]_Card_Oferta,2026-07-09,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,24.85,2242,1420,17,146.176.471,Conversas por mensagem iniciadas,1,24.85,2026-07-09,2026-07-09
[JUL]_[SN]_Card_Condição,2026-07-09,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,24.04,1230,925,10,2.404,Conversas por mensagem iniciadas,3,801.333.333,2026-07-09,2026-07-09
[JUL]_[SN]_Carrossel_Oferta,2026-07-09,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,41.81,3565,2201,73,57.273.973,Conversas por mensagem iniciadas,8,522.625,2026-07-09,2026-07-09
[JUL]_[N]_Card_Oferta,2026-07-08,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,35.03,3012,2055,27,129.740.741,Conversas por mensagem iniciadas,4,8.7575,2026-07-08,2026-07-08
[JUL]_[SN]_Card_Condição,2026-07-08,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,33.06,1471,1117,6,5.51,,,,2026-07-08,2026-07-08
[JUL]_[SN]_Carrossel_Oferta,2026-07-08,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,43.34,3962,2496,60,72.233.333,Conversas por mensagem iniciadas,1,43.34,2026-07-08,2026-07-08
[JUL]_[N]_Card_Oferta,2026-07-07,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,31.91,3183,2185,22,145.045.455,Conversas por mensagem iniciadas,2,15.955,2026-07-07,2026-07-07
[JUL]_[SN]_Card_Condição,2026-07-07,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,32.67,1932,1464,14,233.357.143,Conversas por mensagem iniciadas,2,16.335,2026-07-07,2026-07-07
[JUL]_[SN]_Carrossel_Oferta,2026-07-07,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,43.89,3808,2200,60,7.315,Conversas por mensagem iniciadas,3,14.63,2026-07-07,2026-07-07
[JUL]_[N]_Card_Oferta,2026-07-06,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,40.34,4971,3579,38,106.157.895,Conversas por mensagem iniciadas,4,10.085,2026-07-06,2026-07-06
[JUL]_[SN]_Card_Condição,2026-07-06,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,45.12,2720,2124,23,196.173.913,Conversas por mensagem iniciadas,3,15.04,2026-07-06,2026-07-06
[JUN]_[N]_Vídeo_Modelo,2026-07-06,inactive,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,9.95,546,444,10,995,Conversas por mensagem iniciadas,2,4.975,2026-07-06,2026-07-06
[JUL]_[SN]_Carrossel_Oferta,2026-07-06,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,41.92,5169,3445,73,57.424.658,Conversas por mensagem iniciadas,3,1.397.333.333,2026-07-06,2026-07-06
[JUL]_[SN]_Card_Condição,2026-07-05,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,37.29,2560,1855,18,207.166.667,Conversas por mensagem iniciadas,5,7.458,2026-07-05,2026-07-05
[JUL]_[SN]_Carrossel_Oferta,2026-07-05,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,40.57,4751,3124,83,48.879.518,Conversas por mensagem iniciadas,9,450.777.778,2026-07-05,2026-07-05
[JUL]_[N]_Card_Oferta,2026-07-05,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,35.79,4999,3479,35,102.257.143,Conversas por mensagem iniciadas,2,17.895,2026-07-05,2026-07-05
[JUN]_[N]_Vídeo_Modelo,2026-07-05,inactive,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,25.68,1519,1103,15,1.712,Conversas por mensagem iniciadas,1,25.68,2026-07-05,2026-07-05
[JUL]_[N]_Card_Oferta,2026-07-04,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,25.9,3963,2864,28,925,,,,2026-07-04,2026-07-04
[JUL]_[SN]_Card_Condição,2026-07-04,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,23.47,1680,1271,13,180.538.462,,,,2026-07-04,2026-07-04
[JUN]_[N]_Vídeo_Modelo,2026-07-04,inactive,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,12.77,842,632,14,91.214.286,Conversas por mensagem iniciadas,1,12.77,2026-07-04,2026-07-04
[JUL]_[SN]_Carrossel_Oferta,2026-07-04,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,25.95,3070,2098,53,48.962.264,Conversas por mensagem iniciadas,5,5.19,2026-07-04,2026-07-04
[JUL]_[N]_Card_Oferta,2026-07-03,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,11.69,1786,1520,11,106.272.727,,,,2026-07-03,2026-07-03
[JUL]_[SN]_Card_Condição,2026-07-03,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,14.05,810,704,2,7.025,,,,2026-07-03,2026-07-03
[JUN]_[N]_Vídeo_Modelo,2026-07-03,inactive,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,12.31,863,611,8,153.875,,,,2026-07-03,2026-07-03
[JUL]_[SN]_Carrossel_Oferta,2026-07-03,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,27.46,3065,2041,63,43.587.302,Conversas por mensagem iniciadas,2,13.73,2026-07-03,2026-07-03
[JUL]_[SN]_Carrossel_Oferta,2026-07-02,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,38.27,3708,2418,55,69.581.818,Conversas por mensagem iniciadas,7,546.714.286,2026-07-02,2026-07-02
[JUN]_[N]_Vídeo_Modelo,2026-07-02,inactive,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,14.78,1115,720,4,3.695,Conversas por mensagem iniciadas,1,14.78,2026-07-02,2026-07-02
[JUN]_[N]_Vídeo_Modelo,2026-07-01,inactive,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,24.96,1476,918,25,9.984,Conversas por mensagem iniciadas,4,6.24,2026-07-01,2026-07-01
[JUL]_[SN]_Carrossel_Oferta,2026-07-01,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,43.2,4749,3119,59,73.220.339,Conversas por mensagem iniciadas,5,8.64,2026-07-01,2026-07-01
