Nome da campanha,Dia,Status de veiculação,Nível de veiculação,Nome da conta,Identificação da conta,Valor gasto (BRL),Impressões,Alcance,Cliques no link,CPC (custo por clique no link),Tipo de resultado,Resultados,Custo por resultado,Início dos relatórios,Encerramento dos relatórios,Resultados (iniciais)
[AGO]_[N]_Vt_Oferta - M/T/R,2026-08-17,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,17.4,377,316,8,2.175,Conversas por mensagem iniciadas,2,8.7,2026-08-17,2026-08-17,
[AGO]_[N]_Card_Oferta - R/T/M,2026-08-16,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,73.2,5673,3839,54,135.555.556,Conversas por mensagem iniciadas,6,12.2,2026-08-16,2026-08-16,
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-16,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,67.94,5064,3675,91,74.659.341,Conversas por mensagem iniciadas,6,1.132.333.333,2026-08-16,2026-08-16,
[AGO]_[N]_Vídeo_Transit [17.08],2026-08-16,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,13.69,584,550,3,456.333.333,Conversas por mensagem iniciadas,1,13.69,2026-08-16,2026-08-16,
[AGO]_[SN]_Card_Condição - Lote,2026-08-16,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,25.64,1055,858,21,122.095.238,Conversas por mensagem iniciadas,4,6.41,2026-08-16,2026-08-16,
[AGO]_[SN]_Carrossel_Oferta - Estoque [TP],2026-08-16,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,13.03,828,778,10,1.303,Conversas por mensagem iniciadas,1,13.03,2026-08-16,2026-08-16,
[AGO]_[N]_Vt_Oferta - M/T/R,2026-08-16,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,25.29,557,457,11,229.909.091,,,,2026-08-16,2026-08-16,
[AGO]_[N]_Vt_Oferta - M/T/R,2026-08-15,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,13.37,232,201,3,445.666.667,Conversas por mensagem iniciadas,1,13.37,2026-08-15,2026-08-15,
[AGO]_[SN]_Carrossel_Oferta - Estoque [TP],2026-08-15,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,04.06,253,226,5,812,Conversas por mensagem iniciadas,1,04.06,2026-08-15,2026-08-15,
[AGO]_[SN]_Card_Condição - Lote,2026-08-15,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,10.36,436,366,4,2.59,,,,2026-08-15,2026-08-15,
[AGO]_[N]_Card_Oferta - R/T/M,2026-08-15,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,45.95,2855,2096,29,158.448.276,Conversas por mensagem iniciadas,3,1.531.666.667,2026-08-15,2026-08-15,
[AGO]_[N]_Vídeo_Transit [17.08],2026-08-15,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,4.86,225,218,2,2.43,Conversas por mensagem iniciadas,1,4.86,2026-08-15,2026-08-15,
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-15,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,44.39,2938,2147,53,83.754.717,Conversas por mensagem iniciadas,7,634.142.857,2026-08-15,2026-08-15,
[AGO]_[SN]_Carrossel_Oferta - Estoque [TP],2026-08-14,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,8.46,481,407,9,0.94,,,,2026-08-14,2026-08-14,
[AGO]_[N]_Vt_Oferta - M/T/R,2026-08-14,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,15,311,259,3,5,,,,2026-08-14,2026-08-14,
[AGO]_[SN]_Card_Condição - Lote,2026-08-14,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,18.04,700,600,9,200.444.444,Conversas por mensagem iniciadas,1,18.04,2026-08-14,2026-08-14,
[AGO]_[N]_Card_Oferta - R/T/M,2026-08-14,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,53.25,4310,3222,30,1.775,Conversas por mensagem iniciadas,5,10.65,2026-08-14,2026-08-14,
[AGO]_[N]_Vídeo_Transit [17.08],2026-08-14,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,08.01,366,327,4,2.2025,,,,2026-08-14,2026-08-14,
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-14,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,58.3,4053,2826,65,89.692.308,Conversas por mensagem iniciadas,5,11.66,2026-08-14,2026-08-14,
[AGO]_[N]_Vt_Oferta - M/T/R,2026-08-13,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,18.54,347,286,3,6.18,Conversas por mensagem iniciadas,1,18.54,2026-08-13,2026-08-13,
[AGO]_[SN]_Carrossel_Oferta - Estoque [TP],2026-08-13,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,7.9,432,375,5,1.58,,,,2026-08-13,2026-08-13,
[AGO]_[SN]_Card_Condição - Lote,2026-08-13,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,22.29,721,599,16,1.393.125,,,,2026-08-13,2026-08-13,
[AGO]_[N]_Card_Oferta - R/T/M,2026-08-13,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,61.58,4139,3035,39,157.897.436,Conversas por mensagem iniciadas,8,7.6975,2026-08-13,2026-08-13,
[AGO]_[N]_Vídeo_Transit [17.08],2026-08-13,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,9.17,415,383,4,2.2925,Conversas por mensagem iniciadas,1,9.17,2026-08-13,2026-08-13,
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-13,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,54.79,3639,2678,81,67.641.975,Conversas por mensagem iniciadas,6,913.166.667,2026-08-13,2026-08-13,
[AGO]_[N]_Card_Oferta - R/T/M,2026-08-12,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,68.62,4575,3246,45,152.488.889,Conversas por mensagem iniciadas,3,2.287.333.333,2026-08-12,2026-08-12,
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-12,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,66.86,4651,3287,82,81.536.585,Conversas por mensagem iniciadas,8,8.3575,2026-08-12,2026-08-12,
[AGO]_[N]_Vídeo_Transit [17.08],2026-08-12,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,12.71,531,460,2,6.355,Conversas por mensagem iniciadas,1,12.71,2026-08-12,2026-08-12,
[AGO]_[SN]_Card_Condição - Lote,2026-08-12,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,26.51,897,697,11,2.41,Conversas por mensagem iniciadas,1,26.51,2026-08-12,2026-08-12,
[AGO]_[N]_Vt_Oferta - M/T/R,2026-08-12,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,22.85,390,315,8,285.625,Conversas por mensagem iniciadas,1,22.85,2026-08-12,2026-08-12,
[AGO]_[SN]_Carrossel_Oferta - Estoque [TP],2026-08-12,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,12.62,701,575,15,84.133.333,Conversas por mensagem iniciadas,1,12.62,2026-08-12,2026-08-12,
[AGO]_[N]_Card_Oferta - R/T/M,2026-08-11,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,68.11,4318,3046,32,21.284.375,Conversas por mensagem iniciadas,4,170.275,2026-08-11,2026-08-11,
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-11,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,67.66,4290,3038,87,77.770.115,Conversas por mensagem iniciadas,5,13.532,2026-08-11,2026-08-11,
[AGO]_[N]_Vídeo_Transit [17.08],2026-08-11,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,12.72,533,473,4,3.18,,,,2026-08-11,2026-08-11,
[AGO]_[SN]_Card_Condição - Lote,2026-08-11,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,19.27,658,584,9,214.111.111,,,,2026-08-11,2026-08-11,
[AGO]_[SN]_Carrossel_Oferta - Estoque [TP],2026-08-11,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,13.8,744,592,12,1.15,,,,2026-08-11,2026-08-11,
[AGO]_[N]_Vt_Oferta - M/T/R,2026-08-11,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,24.33,550,428,7,347.571.429,,,,2026-08-11,2026-08-11,
[AGO]_[N]_Vt_Oferta - M/T/R,2026-08-10,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,15.98,345,292,2,7.99,Conversas por mensagem iniciadas,1,15.98,2026-08-10,2026-08-10,
[AGO]_[SN]_Carrossel_Oferta - Estoque [TP],2026-08-10,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,11.53,785,642,8,144.125,Conversas por mensagem iniciadas,1,11.53,2026-08-10,2026-08-10,
[AGO]_[SN]_Card_Condição - Lote,2026-08-10,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,20.96,482,426,2,10.48,Conversas por mensagem iniciadas,1,20.96,2026-08-10,2026-08-10,
[AGO]_[N]_Card_Oferta - R/T/M,2026-08-10,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,46.62,2779,2017,21,2.22,Conversas por mensagem iniciadas,2,23.31,2026-08-10,2026-08-10,
[AGO]_[N]_Vídeo_Transit [17.08],2026-08-10,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,10.35,460,415,1,10.35,,,,2026-08-10,2026-08-10,
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-10,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,62.46,4110,2976,83,75.253.012,Conversas por mensagem iniciadas,4,15.615,2026-08-10,2026-08-10,
[AGO]_[N]_Card_Oferta - R/T/M,2026-08-09,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,75.77,6160,4149,51,148.568.627,Conversas por mensagem iniciadas,4,189.425,2026-08-09,2026-08-09,
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-09,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,65.4,4833,3366,74,88.378.378,Conversas por mensagem iniciadas,3,21.8,2026-08-09,2026-08-09,
[AGO]_[N]_Vídeo_Transit [17.08],2026-08-09,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,12.09,481,450,1,12.09,,,,2026-08-09,2026-08-09,
[AGO]_[SN]_Card_Condição - Lote,2026-08-09,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,22.53,843,713,10,2.253,,,,2026-08-09,2026-08-09,
[AGO]_[SN]_Carrossel_Oferta - Estoque [TP],2026-08-09,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,11.5,842,719,15,76.666.667,Conversas por mensagem iniciadas,2,5.75,2026-08-09,2026-08-09,
[AGO]_[SN]_Carrossel_Oferta - Estoque [TP],2026-08-08,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,8.17,476,415,6,136.166.667,Conversas por mensagem iniciadas,1,8.17,2026-08-08,2026-08-08,
[AGO]_[SN]_Card_Condição - Lote,2026-08-08,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,14.53,529,436,4,3.6325,,,,2026-08-08,2026-08-08,
[AGO]_[N]_Card_Oferta - R/T/M,2026-08-08,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,53.64,3588,2507,36,1.49,Conversas por mensagem iniciadas,4,13.41,2026-08-08,2026-08-08,
[AGO]_[N]_Vídeo_Transit [17.08],2026-08-08,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,4.35,279,264,,,,,,2026-08-08,2026-08-08,
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-08,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,46.89,2969,2151,47,99.765.957,Conversas por mensagem iniciadas,1,46.89,2026-08-08,2026-08-08,
[AGO]_[SN]_Carrossel_Oferta - Estoque [TP],2026-08-07,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,4.15,174,154,3,138.333.333,Conversas por mensagem iniciadas,2,2.075,2026-08-07,2026-08-07,
[AGO]_[SN]_Card_Condição - Lote,2026-08-07,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,26.32,933,779,18,146.222.222,Conversas por mensagem iniciadas,1,26.32,2026-08-07,2026-08-07,
[AGO]_[N]_Card_Oferta - R/T/M,2026-08-07,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,51.37,2928,1947,38,135.184.211,Conversas por mensagem iniciadas,9,570.777.778,2026-08-07,2026-08-07,
[AGO]_[N]_Vídeo_Transit [17.08],2026-08-07,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,6.69,316,284,1,6.69,,,,2026-08-07,2026-08-07,
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-07,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,44.89,3436,2433,80,561.125,Conversas por mensagem iniciadas,13,345.307.692,2026-08-07,2026-08-07,
[AGO]_[N]_Vídeo_Transit [17.08],2026-08-06,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,9.75,456,420,3,3.25,,,,2026-08-06,2026-08-06,
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-06,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,56.66,4965,3287,95,59.642.105,Conversas por mensagem iniciadas,11,515.090.909,2026-08-06,2026-08-06,
[AGO]_[N]_Card_Oferta - R/T/M,2026-08-06,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,54.57,3426,2324,38,143.605.263,Conversas por mensagem iniciadas,4,136.425,2026-08-06,2026-08-06,
[AGO]_[SN]_Card_Condição - Lote,2026-08-06,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,17.12,825,672,16,01.07,,,,2026-08-06,2026-08-06,
[AGO]_[SN]_Card_Condição - Lote,2026-08-05,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,9.4,370,319,3,313.333.333,,,,2026-08-05,2026-08-05,
[AGO]_[N]_Card_Oferta - R/T/M,2026-08-05,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,16.21,1017,855,5,3.242,Conversas por mensagem iniciadas,1,16.21,2026-08-05,2026-08-05,
[AGO]_[N]_Vídeo_Transit [17.08],2026-08-05,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,11.34,443,371,4,2.835,Conversas por mensagem iniciadas,1,11.34,2026-08-05,2026-08-05,
[JUL]_[N]_Card_Modelos,2026-08-05,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,19.76,1181,937,10,1.976,Conversas por mensagem iniciadas,2,9.88,2026-08-05,2026-08-05,
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-05,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,59.7,4998,3469,90,66.333.333,Conversas por mensagem iniciadas,14,426.428.571,2026-08-05,2026-08-05,
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-04,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,66.55,4946,3360,110,605,Conversas por mensagem iniciadas,10,6.655,2026-08-04,2026-08-04,
[JUL]_[N]_Card_Modelos,2026-08-04,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,71.98,4710,3316,40,1.7995,Conversas por mensagem iniciadas,2,35.99,2026-08-04,2026-08-04,
[AGO]_[N]_Vídeo_Transit [17.08],2026-08-04,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,11.64,444,414,3,3.88,,,,2026-08-04,2026-08-04,
[AGO]_[N]_Vídeo_Transit [17.08],2026-08-03,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,12.22,441,412,5,2.444,Conversas por mensagem iniciadas,1,12.22,2026-08-03,2026-08-03,
