Nome da campanha,Dia,Status de veiculação,Nível de veiculação,Nome da conta,Identificação da conta,Valor gasto (BRL),Impressões,Alcance,Cliques no link,CPC (custo por clique no link),Tipo de resultado,Resultados,Custo por resultado,Início dos relatórios,Encerramento dos relatórios,Resultados (iniciais)
[AGO]_[N]_Vídeo_Modelo - Exclusiva BC,2026-08-26,active,campaign,SuperAuto GAC,952398236874786,51.45,899,734,12,4.2875,Conversas por mensagem iniciadas,1,51.45,2026-08-26,2026-08-26,
[AGO]_[N]_Vários formatos_Move Brasil,2026-08-26,active,campaign,SuperAuto GAC,952398236874786,21.78,716,596,15,1.452,Conversas por mensagem iniciadas,10,2.178,2026-08-26,2026-08-26,
[AGO]_[N]_Card_Oferta - TM -BC | FLN,2026-08-26,active,campaign,SuperAuto GAC,952398236874786,316.75,15634,10709,244,129.815.574,Leads (formulário),25,12.67,2026-08-26,2026-08-26,
[AGO]_[PV]_Vídeo/Card_Condição - GAC FEST,2026-08-26,active,campaign,SuperAuto GAC,952398236874786,42.91,561,460,7,6.13,Conversas por mensagem iniciadas,5,8.582,2026-08-26,2026-08-26,
[AGO]_[N]_Carrossel_Oferta,2026-08-26,active,campaign,SuperAuto GAC,952398236874786,51.32,2034,1460,25,2.0528,,,,2026-08-26,2026-08-26,
[AGO]_[N]_Carrossel [GS9/Wts],2026-08-26,active,campaign,SuperAuto GAC,952398236874786,25.79,730,531,13,198.384.615,Conversas por mensagem iniciadas,1,25.79,2026-08-26,2026-08-26,
[AGO]_[N]_Vídeo_GAC [GS3/Form],2026-08-26,active,campaign,SuperAuto GAC,952398236874786,15.27,414,356,6,2.545,,,,2026-08-26,2026-08-26,
[AGO]_[N]_Vídeo [GS9/Form],2026-08-26,active,campaign,SuperAuto GAC,952398236874786,78.26,1795,1404,30,260.866.667,Leads (formulário),5,15.652,2026-08-26,2026-08-26,
[AGO]_[N]_Carrossel_Oferta,2026-08-25,active,campaign,SuperAuto GAC,952398236874786,25.6,995,747,10,2.56,,,,2026-08-25,2026-08-25,
[AGO]_[N]_Vídeo_Modelo - Exclusiva BC[ 2],2026-08-25,inactive,campaign,SuperAuto GAC,952398236874786,6.23,78,76,,,,,,2026-08-25,2026-08-25,
[AGO]_[N]_Vídeo [GS9/Form],2026-08-25,active,campaign,SuperAuto GAC,952398236874786,57.44,1504,1251,40,1.436,Leads (formulário),4,14.36,2026-08-25,2026-08-25,
[AGO]_[N]_Vídeo_GAC [GS3/Form],2026-08-25,active,campaign,SuperAuto GAC,952398236874786,16.45,380,315,5,3.29,,,,2026-08-25,2026-08-25,
[AGO]_[N]_Carrossel [GS9/Wts],2026-08-25,active,campaign,SuperAuto GAC,952398236874786,28.26,914,714,8,3.5325,Conversas por mensagem iniciadas,4,7.065,2026-08-25,2026-08-25,
[AGO]_[N]_Vídeo_Modelo - Exclusiva BC,2026-08-25,active,campaign,SuperAuto GAC,952398236874786,49.57,887,822,11,450.636.364,Conversas por mensagem iniciadas,1,49.57,2026-08-25,2026-08-25,
[AGO]_[PV]_Vídeo/Card_Condição - GAC FEST,2026-08-25,active,campaign,SuperAuto GAC,952398236874786,45.29,652,522,10,4.529,Conversas por mensagem iniciadas,2,22.645,2026-08-25,2026-08-25,
[AGO]_[N]_Card_Oferta - TM -BC | FLN,2026-08-25,active,campaign,SuperAuto GAC,952398236874786,593.75,27177,18278,452,131.360.619,Leads (formulário),52,1.141.826.923,2026-08-25,2026-08-25,
[AGO]_[N]_Vários formatos_Move Brasil,2026-08-25,active,campaign,SuperAuto GAC,952398236874786,110.12,3521,2715,41,268.585.366,Conversas por mensagem iniciadas,28,393.285.714,2026-08-25,2026-08-25,
[AGO]_[N]_Carrossel [GS9/Wts],2026-08-24,active,campaign,SuperAuto GAC,952398236874786,33.76,884,668,12,281.333.333,Conversas por mensagem iniciadas,1,33.76,2026-08-24,2026-08-24,
[AGO]_[N]_Vários formatos_Move Brasil,2026-08-24,active,campaign,SuperAuto GAC,952398236874786,136.24,5417,4465,45,302.755.556,Conversas por mensagem iniciadas,27,504.592.593,2026-08-24,2026-08-24,
[AGO]_[N]_Card_Oferta - TM -BC | FLN,2026-08-24,active,campaign,SuperAuto GAC,952398236874786,782.35,41916,27520,622,125.779.743,Leads (formulário),48,1.629.895.833,2026-08-24,2026-08-24,
[AGO]_[PV]_Vídeo/Card_Condição - GAC FEST,2026-08-24,active,campaign,SuperAuto GAC,952398236874786,41.77,493,400,8,522.125,Conversas por mensagem iniciadas,5,8.354,2026-08-24,2026-08-24,
[AGO]_[N]_Vídeo_Modelo - Exclusiva BC[ 2],2026-08-24,inactive,campaign,SuperAuto GAC,952398236874786,20.05,246,237,3,668.333.333,,,,2026-08-24,2026-08-24,
[AGO]_[N]_Vídeo_GAC [GS3/Form],2026-08-24,active,campaign,SuperAuto GAC,952398236874786,19.15,472,404,7,273.571.429,,,,2026-08-24,2026-08-24,
[AGO]_[PV]_Vídeo/Card_Condição - GAC FEST [2],2026-08-24,inactive,campaign,SuperAuto GAC,952398236874786,18.93,275,240,4,4.7325,Conversas por mensagem iniciadas,1,18.93,2026-08-24,2026-08-24,
[AGO]_[N]_Vídeo [GS9/Form],2026-08-24,active,campaign,SuperAuto GAC,952398236874786,26.34,650,542,21,125.428.571,Leads (formulário),3,8.78,2026-08-24,2026-08-24,
[AGO]_[PV]_Vídeo/Card_Condição - GAC FEST [2],2026-08-23,inactive,campaign,SuperAuto GAC,952398236874786,87.02,2171,1573,15,580.133.333,Conversas por mensagem iniciadas,3,2.900.666.667,2026-08-23,2026-08-23,
[AGO]_[N]_Vídeo_Modelo - Exclusiva BC[ 2],2026-08-23,inactive,campaign,SuperAuto GAC,952398236874786,30.98,495,451,4,7.745,Leads (formulário),1,30.98,2026-08-23,2026-08-23,
[AGO]_[N]_Vídeo [GS9/Form],2026-08-23,active,campaign,SuperAuto GAC,952398236874786,67.53,1930,1606,50,1.3506,Leads (formulário),9,750.333.333,2026-08-23,2026-08-23,
[AGO]_[N]_Vídeo_GAC [GS3/Form],2026-08-23,active,campaign,SuperAuto GAC,952398236874786,22.5,440,368,17,132.352.941,Leads (formulário),2,11.25,2026-08-23,2026-08-23,
[AGO]_[N]_Carrossel [GS9/Wts],2026-08-23,active,campaign,SuperAuto GAC,952398236874786,35.1,1054,806,13,2.7,Conversas por mensagem iniciadas,1,35.1,2026-08-23,2026-08-23,
[AGO]_[PV]_Vídeo/Card_Condição - GAC FEST,2026-08-23,active,campaign,SuperAuto GAC,952398236874786,41.55,515,444,3,13.85,Conversas por mensagem iniciadas,1,41.55,2026-08-23,2026-08-23,
[AGO]_[N]_Card_Oferta - TM -BC | FLN,2026-08-23,active,campaign,SuperAuto GAC,952398236874786,1186.26,57528,37139,1024,115.845.703,Leads (formulário),77,1.540.597.403,2026-08-23,2026-08-23,
[AGO]_[N]_Vários formatos_Move Brasil,2026-08-23,active,campaign,SuperAuto GAC,952398236874786,144.07,6346,5184,42,34.302.381,Conversas por mensagem iniciadas,22,654.863.636,2026-08-23,2026-08-23,
[AGO]_[N]_Carrossel [GS9/Wts],2026-08-22,active,campaign,SuperAuto GAC,952398236874786,23.48,746,520,12,195.666.667,Conversas por mensagem iniciadas,2,11.74,2026-08-22,2026-08-22,
[AGO]_[N]_Vários formatos_Move Brasil,2026-08-22,active,campaign,SuperAuto GAC,952398236874786,109.36,4736,3939,34,321.647.059,Conversas por mensagem iniciadas,22,497.090.909,2026-08-22,2026-08-22,
[AGO]_[N]_Card_Oferta - TM -BC | FLN,2026-08-22,active,campaign,SuperAuto GAC,952398236874786,939.09,40243,25731,736,12.759.375,Leads (formulário),61,1.539.491.803,2026-08-22,2026-08-22,
[AGO]_[PV]_Vídeo/Card_Condição - GAC FEST,2026-08-22,active,campaign,SuperAuto GAC,952398236874786,19.3,286,253,3,643.333.333,,,,2026-08-22,2026-08-22,
[AGO]_[N]_Vídeo_Modelo - Exclusiva BC,2026-08-22,active,campaign,SuperAuto GAC,952398236874786,0,0,0,,,Conversas por mensagem iniciadas,1,0,2026-08-22,2026-08-22,
[AGO]_[N]_Vídeo_GAC [GS3/Form],2026-08-22,active,campaign,SuperAuto GAC,952398236874786,22.38,470,366,6,3.73,,,,2026-08-22,2026-08-22,
[AGO]_[N]_Vídeo [GS9/Form],2026-08-22,active,campaign,SuperAuto GAC,952398236874786,41.24,964,754,48,85.916.667,Leads (formulário),9,458.222.222,2026-08-22,2026-08-22,
[AGO]_[N]_Vídeo_Modelo - Exclusiva BC[ 2],2026-08-22,inactive,campaign,SuperAuto GAC,952398236874786,17.34,316,272,2,8.67,,,,2026-08-22,2026-08-22,
[AGO]_[PV]_Vídeo/Card_Condição - GAC FEST [2],2026-08-22,inactive,campaign,SuperAuto GAC,952398236874786,85.66,2206,1514,18,475.888.889,Conversas por mensagem iniciadas,2,42.83,2026-08-22,2026-08-22,
[AGO]_[N]_Vários formatos_Move Brasil,2026-08-21,active,campaign,SuperAuto GAC,952398236874786,99.58,3854,3105,43,231.581.395,Conversas por mensagem iniciadas,21,474.190.476,2026-08-21,2026-08-21,
[AGO]_[N]_Card_Oferta - TM -BC | FLN,2026-08-21,active,campaign,SuperAuto GAC,952398236874786,960.77,34951,23163,658,146.013.678,Leads (formulário),55,1.746.854.545,2026-08-21,2026-08-21,
[AGO]_[PV]_Vídeo/Card_Condição - GAC FEST,2026-08-21,active,campaign,SuperAuto GAC,952398236874786,50.83,657,531,10,5.083,Conversas por mensagem iniciadas,4,12.7075,2026-08-21,2026-08-21,
[AGO]_[N]_Vídeo_Modelo - Exclusiva BC,2026-08-21,active,campaign,SuperAuto GAC,952398236874786,7.83,45,37,1,7.83,,,,2026-08-21,2026-08-21,
[AGO]_[N]_Carrossel [GS9/Wts],2026-08-21,active,campaign,SuperAuto GAC,952398236874786,42.03,975,685,15,2.802,Conversas por mensagem iniciadas,3,14.01,2026-08-21,2026-08-21,
[AGO]_[N]_Vídeo_GAC [GS3/Form],2026-08-21,active,campaign,SuperAuto GAC,952398236874786,18.61,337,275,5,3.722,Leads (formulário),1,18.61,2026-08-21,2026-08-21,
[AGO]_[N]_Vídeo [GS9/Form],2026-08-21,active,campaign,SuperAuto GAC,952398236874786,37.31,736,569,26,1.435,Leads (formulário),3,1.243.666.667,2026-08-21,2026-08-21,
[AGO]_[N]_Vídeo_Modelo - Exclusiva BC[ 2],2026-08-21,inactive,campaign,SuperAuto GAC,952398236874786,20.57,383,307,2,10.285,,,,2026-08-21,2026-08-21,
[AGO]_[PV]_Vídeo/Card_Condição - GAC FEST [2],2026-08-21,inactive,campaign,SuperAuto GAC,952398236874786,66.47,1109,730,13,511.307.692,Conversas por mensagem iniciadas,6,1.107.833.333,2026-08-21,2026-08-21,
[AGO]_[N]_Carrossel [GS9/Wts],2026-08-20,active,campaign,SuperAuto GAC,952398236874786,84.1,1948,1273,17,494.705.882,Conversas por mensagem iniciadas,1,84.1,2026-08-20,2026-08-20,
[AGO]_[N]_Vídeo_Modelo - Exclusiva BC,2026-08-20,active,campaign,SuperAuto GAC,952398236874786,29.71,317,255,8,371.375,,,,2026-08-20,2026-08-20,
[AGO]_[PV]_Vídeo/Card_Condição - GAC FEST,2026-08-20,active,campaign,SuperAuto GAC,952398236874786,33.29,508,415,8,416.125,Conversas por mensagem iniciadas,5,6.658,2026-08-20,2026-08-20,
[AGO]_[N]_Card_Oferta - TM -BC | FLN,2026-08-20,active,campaign,SuperAuto GAC,952398236874786,949.1,44349,31244,830,114.349.398,Leads (formulário),43,2.207.209.302,2026-08-20,2026-08-20,
[AGO]_[N]_Vários formatos_Move Brasil,2026-08-20,active,campaign,SuperAuto GAC,952398236874786,79.3,3260,2746,27,293.703.704,Conversas por mensagem iniciadas,16,495.625,2026-08-20,2026-08-20,
[AGO]_[N]_Carrossel [GS9/Wts],2026-08-19,active,campaign,SuperAuto GAC,952398236874786,80.07,1958,1316,29,276.103.448,Conversas por mensagem iniciadas,12,6.6725,2026-08-19,2026-08-19,
[AGO]_[N]_Vídeo_Modelo - Exclusiva BC,2026-08-19,active,campaign,SuperAuto GAC,952398236874786,36.27,689,492,10,3.627,Conversas por mensagem iniciadas,1,36.27,2026-08-19,2026-08-19,
[AGO]_[N]_Card_Oferta - TM -BC | FLN,2026-08-19,active,campaign,SuperAuto GAC,952398236874786,891.31,46617,31933,777,114.711.712,Leads (formulário),59,1.510.694.915,2026-08-19,2026-08-19,
[AGO]_[N]_Vários formatos_Move Brasil,2026-08-19,active,campaign,SuperAuto GAC,952398236874786,105.12,4703,3778,47,223.659.574,Conversas por mensagem iniciadas,25,4.2048,2026-08-19,2026-08-19,
[AGO]_[PV]_Vídeo/Card_Condição - GAC FEST,2026-08-19,active,campaign,SuperAuto GAC,952398236874786,34.33,791,646,10,3.433,Conversas por mensagem iniciadas,2,17.165,2026-08-19,2026-08-19,
[AGO]_[N]_Carrossel [GS9/Wts],2026-08-18,active,campaign,SuperAuto GAC,952398236874786,23.94,588,470,9,2.66,Conversas por mensagem iniciadas,2,11.97,2026-08-18,2026-08-18,
[AGO]_[N]_Vídeo [Teaser GS9],2026-08-18,inactive,campaign,SuperAuto GAC,952398236874786,64.07,34795,20530,17,376.882.353,Visualização contínua de 2 segundos do vídeo,17625,363.518,2026-08-18,2026-08-18,
[AGO]_[N]_Vídeo_Modelo - Exclusiva BC,2026-08-18,active,campaign,SuperAuto GAC,952398236874786,27.27,698,563,8,340.875,,,,2026-08-18,2026-08-18,
[AGO]_[PV]_Vídeo/Card_Condição - GAC FEST,2026-08-18,active,campaign,SuperAuto GAC,952398236874786,33.24,614,475,5,6.648,Conversas por mensagem iniciadas,2,16.62,2026-08-18,2026-08-18,
[AGO]_[N]_Card_Oferta - TM -BC | FLN,2026-08-18,active,campaign,SuperAuto GAC,952398236874786,765.04,42223,29724,660,115.915.152,Leads (formulário),38,2.013.263.158,2026-08-18,2026-08-18,
[AGO]_[N]_Vários formatos_Move Brasil,2026-08-18,active,campaign,SuperAuto GAC,952398236874786,95.02,3666,2926,33,287.939.394,Conversas por mensagem iniciadas,18,527.888.889,2026-08-18,2026-08-18,
[AGO]_[N]_Vídeo [Teaser GS9],2026-08-17,inactive,campaign,SuperAuto GAC,952398236874786,45.42,28584,15618,11,412.909.091,Visualização contínua de 2 segundos do vídeo,15028,302.236,2026-08-17,2026-08-17,
[AGO]_[N]_Vídeo_Modelo - Exclusiva BC,2026-08-17,active,campaign,SuperAuto GAC,952398236874786,26.95,464,377,12,224.583.333,Conversas por mensagem iniciadas,1,26.95,2026-08-17,2026-08-17,
[AGO]_[PV]_Vídeo/Card_Condição - GAC FEST,2026-08-17,active,campaign,SuperAuto GAC,952398236874786,33.85,550,456,7,483.571.429,Conversas por mensagem iniciadas,1,33.85,2026-08-17,2026-08-17,
[AGO]_[N]_Card_Oferta - TM -BC | FLN,2026-08-17,active,campaign,SuperAuto GAC,952398236874786,777.47,47091,32668,771,10.083.917,Leads (formulário),43,1.808.069.767,2026-08-17,2026-08-17,
[AGO]_[N]_Vários formatos_Move Brasil,2026-08-17,active,campaign,SuperAuto GAC,952398236874786,118.32,4860,3635,47,251.744.681,Conversas por mensagem iniciadas,26,455.076.923,2026-08-17,2026-08-17,
[AGO]_[N]_Vários formatos_Move Brasil,2026-08-16,active,campaign,SuperAuto GAC,952398236874786,127.27,5004,3786,73,174.342.466,Conversas por mensagem iniciadas,42,30.302.381,2026-08-16,2026-08-16,
[AGO]_[N]_Card_Oferta - TM -BC | FLN,2026-08-16,active,campaign,SuperAuto GAC,952398236874786,948.27,55995,37703,1013,93.610.069,Leads (formulário),68,1.394.514.706,2026-08-16,2026-08-16,
[AGO]_[PV]_Vídeo/Card_Condição - GAC FEST,2026-08-16,active,campaign,SuperAuto GAC,952398236874786,35.11,571,468,6,585.166.667,Conversas por mensagem iniciadas,1,35.11,2026-08-16,2026-08-16,
[AGO]_[N]_Vídeo [Teaser GS9],2026-08-16,inactive,campaign,SuperAuto GAC,952398236874786,59.59,37482,18986,16,3.724.375,Visualização contínua de 2 segundos do vídeo,20101,296.453,2026-08-16,2026-08-16,
[AGO]_[N]_Vídeo_Modelo - Exclusiva BC,2026-08-16,active,campaign,SuperAuto GAC,952398236874786,31.77,587,489,10,3.177,Conversas por mensagem iniciadas,1,31.77,2026-08-16,2026-08-16,
[AGO]_[N]_Vários formatos_Move Brasil,2026-08-15,active,campaign,SuperAuto GAC,952398236874786,84.98,2781,2191,35,2.428,Conversas por mensagem iniciadas,21,404.666.667,2026-08-15,2026-08-15,
[AGO]_[N]_Vídeo [Teaser GS9],2026-08-15,inactive,campaign,SuperAuto GAC,952398236874786,39.61,25283,13135,12,330.083.333,Visualização contínua de 2 segundos do vídeo,13636,290.481,2026-08-15,2026-08-15,
[AGO]_[N]_Vídeo_Modelo - Exclusiva BC,2026-08-15,active,campaign,SuperAuto GAC,952398236874786,20.23,443,357,1,20.23,,,,2026-08-15,2026-08-15,
[AGO]_[PV]_Card_Condição - GAC FEST [2],2026-08-15,completed,campaign,SuperAuto GAC,952398236874786,80.81,1411,1063,11,734.636.364,Conversas por mensagem iniciadas,4,202.025,2026-08-15,2026-08-15,
[AGO]_[PV]_Vídeo/Card_Condição - GAC FEST,2026-08-15,active,campaign,SuperAuto GAC,952398236874786,10.47,255,220,,,,,,2026-08-15,2026-08-15,
[AGO]_[N]_Card_Oferta - TM -BC | FLN,2026-08-15,active,campaign,SuperAuto GAC,952398236874786,715.03,38558,27624,779,9.178.819,Leads (formulário),55,1.300.054.545,2026-08-15,2026-08-15,
[AGO]_[N]_Vários formatos_Move Brasil,2026-08-14,active,campaign,SuperAuto GAC,952398236874786,94.87,3236,2588,44,215.613.636,Conversas por mensagem iniciadas,19,499.315.789,2026-08-14,2026-08-14,
[AGO]_[N]_Vídeo [Teaser GS9],2026-08-14,inactive,campaign,SuperAuto GAC,952398236874786,27.76,16680,10050,7,396.571.429,Visualização contínua de 2 segundos do vídeo,8824,314.597,2026-08-14,2026-08-14,
[AGO]_[N]_Vídeo_Modelo - Exclusiva BC,2026-08-14,active,campaign,SuperAuto GAC,952398236874786,19.66,306,258,2,9.83,,,,2026-08-14,2026-08-14,
[AGO]_[PV]_Card_Condição - GAC FEST [2],2026-08-14,completed,campaign,SuperAuto GAC,952398236874786,146.68,2821,2012,24,611.166.667,Conversas por mensagem iniciadas,4,36.67,2026-08-14,2026-08-14,
[AGO]_[PV]_Vídeo/Card_Condição - GAC FEST,2026-08-14,active,campaign,SuperAuto GAC,952398236874786,99.14,2333,1714,20,4.957,Conversas por mensagem iniciadas,5,19.828,2026-08-14,2026-08-14,
[AGO]_[N]_Card_Oferta - TM -BC | FLN,2026-08-14,active,campaign,SuperAuto GAC,952398236874786,759.22,36879,24936,657,1.155.586,Leads (formulário),28,27.115,2026-08-14,2026-08-14,
[AGO]_[N]_Vários formatos_Move Brasil,2026-08-13,active,campaign,SuperAuto GAC,952398236874786,81.98,2741,2264,39,210.205.128,Conversas por mensagem iniciadas,21,390.380.952,2026-08-13,2026-08-13,
[AGO]_[PV]_Vídeo/Card_Condição - GAC FEST,2026-08-13,active,campaign,SuperAuto GAC,952398236874786,154.15,3028,1808,23,670.217.391,Conversas por mensagem iniciadas,7,2.202.142.857,2026-08-13,2026-08-13,
[AGO]_[N]_Card_Oferta - TM -BC | FLN,2026-08-13,active,campaign,SuperAuto GAC,952398236874786,716.85,36062,25403,556,128.929.856,Leads (formulário),39,1.838.076.923,2026-08-13,2026-08-13,
[AGO]_[N]_Card_Oferta - TM -BC | FLN,2026-08-12,active,campaign,SuperAuto GAC,952398236874786,754.08,39834,28944,573,131.602.094,Leads (formulário),36,2.094.666.667,2026-08-12,2026-08-12,
[AGO]_[PV]_Vídeo/Card_Condição - GAC FEST,2026-08-12,active,campaign,SuperAuto GAC,952398236874786,55.85,1628,1178,17,328.529.412,Conversas por mensagem iniciadas,8,698.125,2026-08-12,2026-08-12,
[AGO]_[N]_Vários formatos_Move Brasil,2026-08-12,active,campaign,SuperAuto GAC,952398236874786,106.53,3743,2952,42,253.642.857,Conversas por mensagem iniciadas,23,463.173.913,2026-08-12,2026-08-12,
[AGO]_[N]_Vários formatos_Move Brasil,2026-08-11,active,campaign,SuperAuto GAC,952398236874786,120.42,4238,3156,41,293.707.317,Conversas por mensagem iniciadas,23,523.565.217,2026-08-11,2026-08-11,
[AGO]_[PV]_Vídeo/Card_Condição - GAC FEST,2026-08-11,active,campaign,SuperAuto GAC,952398236874786,53.26,1791,1124,19,280.315.789,Conversas por mensagem iniciadas,7,760.857.143,2026-08-11,2026-08-11,
[AGO]_[N]_Card_Oferta - TM -BC | FLN,2026-08-11,active,campaign,SuperAuto GAC,952398236874786,749.79,40733,29402,613,122.314.845,Leads (formulário),29,2.585.482.759,2026-08-11,2026-08-11,
[AGO]_[PV]_Vídeo/Card_Condição - GAC FEST,2026-08-10,active,campaign,SuperAuto GAC,952398236874786,22.93,673,502,18,127.388.889,Conversas por mensagem iniciadas,8,286.625,2026-08-10,2026-08-10,
[AGO]_[N]_Card_Oferta - TM -BC | FLN,2026-08-10,active,campaign,SuperAuto GAC,952398236874786,682.27,43399,29860,569,119.906.854,Leads (formulário),31,2.200.870.968,2026-08-10,2026-08-10,
[AGO]_[N]_Vários formatos_Move Brasil,2026-08-10,active,campaign,SuperAuto GAC,952398236874786,103.96,4305,3175,42,24.752.381,Conversas por mensagem iniciadas,21,495.047.619,2026-08-10,2026-08-10,
[AGO]_[N]_Card_Oferta - TM -BC | FLN,2026-08-09,active,campaign,SuperAuto GAC,952398236874786,897.15,53732,36936,847,105.920.897,Leads (formulário),32,280.359.375,2026-08-09,2026-08-09,
[AGO]_[N]_Vários formatos_Move Brasil,2026-08-09,active,campaign,SuperAuto GAC,952398236874786,107.24,4125,2975,42,255.333.333,Conversas por mensagem iniciadas,24,446.833.333,2026-08-09,2026-08-09,
[AGO]_[N]_Card_Oferta - TM -BC | FLN,2026-08-08,active,campaign,SuperAuto GAC,952398236874786,608.54,31785,23801,509,119.555.992,Leads (formulário),24,2.535.583.333,2026-08-08,2026-08-08,
[AGO]_[N]_Vários formatos_Move Brasil,2026-08-08,active,campaign,SuperAuto GAC,952398236874786,151.04,5154,4001,57,264.982.456,Conversas por mensagem iniciadas,30,503.466.667,2026-08-08,2026-08-08,
[AGO]_[PV]_Vídeo_Condição,2026-08-08,inactive,campaign,SuperAuto GAC,952398236874786,153.39,2985,2207,25,6.1356,Conversas por mensagem iniciadas,10,15.339,2026-08-08,2026-08-08,
[AGO]_[PV]_Vídeo_Condição,2026-08-07,inactive,campaign,SuperAuto GAC,952398236874786,233.54,4097,2939,44,530.772.727,Conversas por mensagem iniciadas,7,3.336.285.714,2026-08-07,2026-08-07,
[AGO]_[N]_Card_Oferta - TM -BC | FLN,2026-08-07,active,campaign,SuperAuto GAC,952398236874786,572.63,28951,20289,426,134.420.188,Leads (formulário),17,3.368.411.765,2026-08-07,2026-08-07,
[AGO]_[N]_Vários formatos_Move Brasil,2026-08-07,active,campaign,SuperAuto GAC,952398236874786,153.37,4616,3679,58,264.431.034,Conversas por mensagem iniciadas,39,39.325.641,2026-08-07,2026-08-07,
[AGO]_[N]_Card_Oferta - TM -BC | FLN,2026-08-06,active,campaign,SuperAuto GAC,952398236874786,320.15,17770,13202,306,104.624.183,Leads (formulário),7,4.573.571.429,2026-08-06,2026-08-06,
[JUL]_[N]_Card_Oferta,2026-08-06,inactive,campaign,SuperAuto GAC,952398236874786,151.66,7149,5619,96,157.979.167,Leads (formulário),6,2.527.666.667,2026-08-06,2026-08-06,
[AGO]_[N]_Vários formatos_Move Brasil,2026-08-06,active,campaign,SuperAuto GAC,952398236874786,0,0,0,,,Conversas por mensagem iniciadas,1,0,2026-08-06,2026-08-06,
[JUL]_[SN]_Carrossel_Oferta,2026-08-06,inactive,campaign,SuperAuto GAC,952398236874786,13.43,309,288,3,447.666.667,,,,2026-08-06,2026-08-06,
