Nome do conjunto de anúncios,Dia,Status de veiculação,Nível de veiculação,Nome da conta,Identificação da conta,Impressões,Alcance,Valor usado (BRL),Cliques no link,CPC (custo por clique no link),Tipo de resultado,Resultados,Custo por resultado,Início dos relatórios,Encerramento dos relatórios
[SN]_Carrossel_Oferta,2026-07-20,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,1294,1044,24.11,18,133.944.444,Conversas por mensagem iniciadas,2,12.055,2026-07-20,2026-07-20
[SN]_Carrossel_Oferta,2026-07-20,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,942,817,19.21,13,147.769.231,,,,2026-07-20,2026-07-20
[SN]_Carrossel_Oferta,2026-07-20,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,1030,749,25.44,16,1.59,Conversas por mensagem iniciadas,1,25.44,2026-07-20,2026-07-20
[SN]_Carrossel_Oferta,2026-07-19,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,1157,875,27.09,24,112.875,Conversas por mensagem iniciadas,2,13.545,2026-07-19,2026-07-19
[SN]_Carrossel_Oferta,2026-07-19,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,1078,789,22.68,16,1.4175,Conversas por mensagem iniciadas,1,22.68,2026-07-19,2026-07-19
[SN]_Carrossel_Oferta,2026-07-19,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,1230,964,20.64,20,1.032,,,,2026-07-19,2026-07-19
[N]_Card_Modelo,2026-07-19,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,3531,2780,71.87,34,211.382.353,Leads (formulário),3,2.395.666.667,2026-07-19,2026-07-19
[N]_Card_Modelo,2026-07-19,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,5537,4067,70.14,51,137.529.412,Leads (formulário),2,35.07,2026-07-19,2026-07-19
[N]_Card_Modelo,2026-07-19,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,3647,2735,70.44,59,119.389.831,Leads (formulário),10,7.044,2026-07-19,2026-07-19
[N]_Card_Modelo,2026-07-18,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,1683,1410,41.67,10,4.167,,,,2026-07-18,2026-07-18
[N]_Card_Modelo,2026-07-18,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,1807,1489,41.92,25,1.6768,Leads (formulário),3,1.397.333.333,2026-07-18,2026-07-18
[N]_Card_Modelo,2026-07-18,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,2884,2270,44.9,33,136.060.606,,,,2026-07-18,2026-07-18
[SN]_Carrossel_Oferta,2026-07-18,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,497,403,8.49,10,849,Conversas por mensagem iniciadas,3,2.83,2026-07-18,2026-07-18
[SN]_Carrossel_Oferta,2026-07-18,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,736,584,13.59,8,169.875,Conversas por mensagem iniciadas,4,3.3975,2026-07-18,2026-07-18
[SN]_Carrossel_Oferta,2026-07-18,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,600,483,9.51,10,951,Conversas por mensagem iniciadas,1,9.51,2026-07-18,2026-07-18
[N]_Card_Loja,2026-07-18,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,42711,42432,55.78,3,1.859.333.333,Alcance,42432,131.457.391,2026-07-18,2026-07-18
[SN]_Carrossel_Oferta,2026-07-17,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,1029,855,19.71,17,115.941.176,,,,2026-07-17,2026-07-17
[N]_Card_Modelo,2026-07-17,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,3433,2843,63.6,32,1.9875,Leads (formulário),2,31.8,2026-07-17,2026-07-17
[N]_Card_Modelo,2026-07-17,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,1757,1537,62.95,42,149.880.952,Leads (formulário),4,157.375,2026-07-17,2026-07-17
[N]_Card_Modelo,2026-07-17,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,2259,1919,62.27,39,159.666.667,Leads (formulário),4,155.675,2026-07-17,2026-07-17
[SN]_Carrossel_Oferta,2026-07-17,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,897,681,16.22,16,101.375,Conversas por mensagem iniciadas,4,4.055,2026-07-17,2026-07-17
[SN]_Carrossel_Oferta,2026-07-17,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,791,607,17.77,15,118.466.667,Conversas por mensagem iniciadas,4,4.4425,2026-07-17,2026-07-17
[N]_Card_Loja,2026-07-17,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,84189,78764,108.19,5,21.638,Alcance,78764,137.359.707,2026-07-17,2026-07-17
[N]_Card_Loja,2026-07-16,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,84001,78943,100.26,2,50.13,Alcance,78943,127.003.028,2026-07-16,2026-07-16
[SN]_Carrossel_Oferta,2026-07-16,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,1160,909,20.11,22,91.409.091,Conversas por mensagem iniciadas,3,670.333.333,2026-07-16,2026-07-16
[SN]_Carrossel_Oferta,2026-07-16,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,945,730,20.12,12,167.666.667,Conversas por mensagem iniciadas,1,20.12,2026-07-16,2026-07-16
[SN]_Carrossel_Oferta,2026-07-16,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,1065,841,16.51,15,110.066.667,,,,2026-07-16,2026-07-16
[N]_Card_Modelo,2026-07-16,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,2207,1865,86.03,45,191.177.778,Leads (formulário),4,215.075,2026-07-16,2026-07-16
[N]_Card_Modelo,2026-07-16,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,4154,3451,77.2,42,183.809.524,Leads (formulário),1,77.2,2026-07-16,2026-07-16
[N]_Card_Modelo,2026-07-16,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,2517,2037,85.48,52,164.384.615,Leads (formulário),6,1.424.666.667,2026-07-16,2026-07-16
[SN]_Carrossel_Oferta,2026-07-15,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,1384,1078,24.75,17,145.588.235,Conversas por mensagem iniciadas,2,12.375,2026-07-15,2026-07-15
[N]_Card_Loja,2026-07-15,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,84172,83758,96,4,24,Alcance,83758,114.615.917,2026-07-15,2026-07-15
[SN]_Carrossel_Oferta,2026-07-15,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,921,703,26.28,10,2.628,Conversas por mensagem iniciadas,2,13.14,2026-07-15,2026-07-15
[SN]_Carrossel_Oferta,2026-07-15,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,939,763,25.94,28,92.642.857,Conversas por mensagem iniciadas,4,6.485,2026-07-15,2026-07-15
[N]_Card_Modelo,2026-07-15,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,3225,2854,93.07,63,147.730.159,Leads (formulário),1,93.07,2026-07-15,2026-07-15
[N]_Card_Modelo,2026-07-15,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,6467,5538,107.1,60,1.785,Leads (formulário),4,26.775,2026-07-15,2026-07-15
[N]_Card_Modelo,2026-07-15,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,3464,2830,98.13,57,172.157.895,Leads (formulário),3,32.71,2026-07-15,2026-07-15
[SN]_Carrossel_Oferta,2026-07-14,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,1369,1081,27.2,19,143.157.895,Conversas por mensagem iniciadas,1,27.2,2026-07-14,2026-07-14
[N]_Card_Modelo,2026-07-14,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,3460,2779,109.59,56,195.696.429,Leads (formulário),3,36.53,2026-07-14,2026-07-14
[N]_Card_Modelo,2026-07-14,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,2572,2246,94.52,54,175.037.037,Leads (formulário),3,3.150.666.667,2026-07-14,2026-07-14
[N]_Card_Modelo,2026-07-14,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,5685,4818,93.63,67,139.746.269,Leads (formulário),5,18.726,2026-07-14,2026-07-14
[SN]_Carrossel_Oferta,2026-07-14,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,899,713,23.97,13,184.384.615,Conversas por mensagem iniciadas,3,7.99,2026-07-14,2026-07-14
[SN]_Carrossel_Oferta,2026-07-14,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,896,690,21.8,12,181.666.667,Conversas por mensagem iniciadas,1,21.8,2026-07-14,2026-07-14
[N]_Card_Loja,2026-07-14,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,35709,35478,31.64,2,15.82,Alcance,35478,89.182.028,2026-07-14,2026-07-14
[SN]_Carrossel_Oferta,2026-07-13,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,900,727,21.51,16,1.344.375,Conversas por mensagem iniciadas,2,10.755,2026-07-13,2026-07-13
[SN]_Carrossel_Oferta,2026-07-13,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,721,580,19.56,15,1.304,,,,2026-07-13,2026-07-13
[SN]_Carrossel_Oferta,2026-07-13,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,658,506,16.49,13,126.846.154,Conversas por mensagem iniciadas,2,8.245,2026-07-13,2026-07-13
[N]_Card_Modelo,2026-07-13,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,3212,2681,103.45,65,159.153.846,Leads (formulário),4,258.625,2026-07-13,2026-07-13
[N]_Card_Modelo,2026-07-13,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,6776,5416,100.02,63,158.761.905,,,,2026-07-13,2026-07-13
[N]_Card_Modelo,2026-07-13,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,4176,3295,104.17,65,160.261.538,Leads (formulário),7,1.488.142.857,2026-07-13,2026-07-13
[N]_Card_Modelo,2026-07-12,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,5259,4389,130.69,96,136.135.417,Leads (formulário),5,26.138,2026-07-12,2026-07-12
[N]_Card_Modelo,2026-07-12,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,9300,7395,122.11,87,140.356.322,Leads (formulário),4,305.275,2026-07-12,2026-07-12
[N]_Card_Modelo,2026-07-12,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,5244,4079,111.04,60,185.066.667,Leads (formulário),4,27.76,2026-07-12,2026-07-12
[SN]_Carrossel_Oferta,2026-07-12,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,1211,939,21.54,21,102.571.429,Conversas por mensagem iniciadas,1,21.54,2026-07-12,2026-07-12
[SN]_Carrossel_Oferta,2026-07-12,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,1179,964,24.61,20,1.2305,,,,2026-07-12,2026-07-12
[SN]_Carrossel_Oferta,2026-07-12,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,832,631,23.96,15,159.733.333,,,,2026-07-12,2026-07-12
[SN]_Carrossel_Oferta,2026-07-11,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,654,540,11,14,78.571.429,,,,2026-07-11,2026-07-11
[SN]_Carrossel_Oferta,2026-07-11,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,699,576,10.57,10,1.057,Conversas por mensagem iniciadas,3,352.333.333,2026-07-11,2026-07-11
[SN]_Carrossel_Oferta,2026-07-11,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,691,567,11.14,10,1.114,Conversas por mensagem iniciadas,1,11.14,2026-07-11,2026-07-11
[N]_Card_Modelo,2026-07-11,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,3367,2962,93.97,75,125.293.333,Leads (formulário),2,46.985,2026-07-11,2026-07-11
[N]_Card_Modelo,2026-07-11,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,5287,4432,77.3,63,122.698.413,Leads (formulário),5,15.46,2026-07-11,2026-07-11
[N]_Card_Modelo,2026-07-11,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,2820,2346,73.79,47,1.57,Leads (formulário),6,1.229.833.333,2026-07-11,2026-07-11
[N]_Card_Modelo,2026-07-10,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,2802,2436,67.27,48,140.145.833,Leads (formulário),2,33.635,2026-07-10,2026-07-10
[N]_Card_Modelo,2026-07-10,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,5023,4244,96.98,88,110.204.545,Leads (formulário),4,24.245,2026-07-10,2026-07-10
[N]_Card_Modelo,2026-07-10,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,3446,3118,90.9,58,156.724.138,Leads (formulário),2,45.45,2026-07-10,2026-07-10
[SN]_Carrossel_Oferta,2026-07-10,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,880,683,24.29,12,202.416.667,Conversas por mensagem iniciadas,3,809.666.667,2026-07-10,2026-07-10
[SN]_Carrossel_Oferta,2026-07-10,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,572,489,15.06,14,107.571.429,Conversas por mensagem iniciadas,1,15.06,2026-07-10,2026-07-10
[SN]_Carrossel_Oferta,2026-07-10,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,572,463,21.01,14,150.071.429,Conversas por mensagem iniciadas,2,10.505,2026-07-10,2026-07-10
[SN]_Carrossel_Oferta,2026-07-09,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,876,674,22.69,15,151.266.667,Conversas por mensagem iniciadas,1,22.69,2026-07-09,2026-07-09
[SN]_Carrossel_Oferta,2026-07-09,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,1208,996,25.9,19,136.315.789,Conversas por mensagem iniciadas,2,12.95,2026-07-09,2026-07-09
[SN]_Carrossel_Oferta,2026-07-09,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,965,733,21.69,12,1.8075,,,,2026-07-09,2026-07-09
[N]_Card_Modelo,2026-07-09,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,4132,3781,99.43,65,152.969.231,Leads (formulário),3,3.314.333.333,2026-07-09,2026-07-09
[N]_Card_Modelo,2026-07-09,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,3781,3263,107.05,53,201.981.132,Leads (formulário),1,107.05,2026-07-09,2026-07-09
[N]_Card_Modelo,2026-07-09,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,2850,2284,96.48,44,219.272.727,Leads (formulário),6,16.08,2026-07-09,2026-07-09
[N]_Card_Modelo,2026-07-08,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,3275,2736,118.82,49,242.489.796,Leads (formulário),4,29.705,2026-07-08,2026-07-08
Até R$250 mil,2026-07-08,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,809,683,12.29,7,175.571.429,Conversas por mensagem iniciadas,1,12.29,2026-07-08,2026-07-08
Até R$150 mil,2026-07-08,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,761,689,7.29,5,1.458,,,,2026-07-08,2026-07-08
Mais de R$250 mil,2026-07-08,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,1513,1288,14.98,24,62.416.667,Conversas por mensagem iniciadas,3,499.333.333,2026-07-08,2026-07-08
[N]_Card_Modelo,2026-07-08,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,4179,3733,97.61,54,180.759.259,Leads (formulário),1,97.61,2026-07-08,2026-07-08
[N]_Card_Modelo,2026-07-08,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,3932,3620,94.75,70,135.357.143,Leads (formulário),2,47.375,2026-07-08,2026-07-08
[SN]_Carrossel_Oferta,2026-07-08,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,532,451,9.36,15,624,Conversas por mensagem iniciadas,1,9.36,2026-07-08,2026-07-08
[SN]_Carrossel_Oferta,2026-07-08,not_delivering,adset,SuperAuto [Mitsubishi],1876369346602489,829,785,14.97,15,998,Conversas por mensagem iniciadas,1,14.97,2026-07-08,2026-07-08
